id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C1214	2.63882402441944e-103	1.92137422044859	0.891	0.142	2.98556550122816e-99
C1934	4.44224004374446e-99	2.22222581825317	0.874	0.149	5.02595038549248e-95
C51	1.22496219239708e-91	1.81661563812371	0.908	0.175	1.38592222447806e-87
C446	1.7078902094602e-84	1.7386005963531	0.874	0.186	1.93230698298327e-80
C2092	1.02708715783969e-83	1.72125795472983	0.849	0.157	1.16204641037982e-79
C1842	1.82784477538804e-83	1.89668532699786	0.874	0.176	2.06802357887403e-79
C1572	3.6916742570534e-76	1.78023790393653	0.79	0.149	4.17676025443022e-72
C2316	3.83785257048803e-74	1.38300301636039	0.773	0.142	4.34214639825016e-70
C1680	9.09306467933205e-74	1.71829871857643	0.857	0.196	1.02878933781963e-69
C1134	6.88098262595848e-66	1.75219387818889	0.782	0.176	7.78514374300942e-62
C996	1.46364872818206e-65	1.29420243975535	0.748	0.155	1.65597217106519e-61
C1910	2.03386530511831e-65	1.58510525205709	0.924	0.301	2.30111520621086e-61
C1650	4.98454455245595e-65	1.58313658369453	0.824	0.199	5.63951370664866e-61
C1468	7.11399900679709e-62	1.4495178862011	0.874	0.248	8.04877847629023e-58
C1332	2.11270772428534e-61	1.48238672820589	0.84	0.229	2.39031751925643e-57
C8992	3.93430431010781e-59	1.2752995902381	1	0.719	4.45127189645597e-55
C8643	5.77244371129885e-59	1.55757458545656	1	0.74	6.53094281496353e-55
C1193	7.21857744830667e-59	1.26729986156533	0.882	0.266	8.16709852501416e-55
C9874	1.72338944339649e-58	1.1716450542603	1	0.716	1.94984281625879e-54
C9755	2.84960611370736e-58	1.64027667282034	1	0.707	3.22404435704851e-54
C9502	1.95503058890996e-57	1.62615168220095	1	0.679	2.21192160829273e-53
C1804	1.34754697432737e-56	1.30473241678146	0.815	0.211	1.52461464675399e-52
C2727	6.77737033720241e-55	1.1502765486162	1	0.804	7.66791679951081e-51
C2405	1.09991534971046e-54	0.933721745871571	0.975	0.738	1.24444422666241e-50
C4518	9.79130431446636e-54	1.94259291344608	0.992	0.688	1.10778817013872e-49
C9413	2.09851632543356e-53	1.28841285646183	1	0.677	2.37426137059553e-49
C9569	2.70874206523261e-53	1.05016822300814	1	0.68	3.06467077260418e-49
C2572	4.48677528159889e-53	1.4606381556408	0.983	0.728	5.07633755360098e-49
C10221	1.5964780387675e-52	1.61586597870412	0.983	0.667	1.80625525306155e-48
C10697	6.73760455309551e-52	1.92799492375179	0.983	0.698	7.62292579137226e-48
C3487	1.39316107741758e-51	1.56736182278441	0.983	0.749	1.57622244299025e-47
C5984	2.29972427266789e-51	1.34554228345926	0.983	0.771	2.60190804209645e-47
C9518	3.29333384201889e-51	1.57060555726836	0.975	0.683	3.72607790886018e-47
C10482	7.26335591491497e-51	1.54394959369684	0.983	0.658	8.21776088213479e-47
C10562	2.49282947234118e-50	1.47484837231293	0.975	0.649	2.82038726500681e-46
C10770	2.67290558420582e-50	1.66539329197843	0.975	0.66	3.02412537797047e-46
C9657	3.55169147392217e-50	1.19432941542623	1	0.633	4.01838373359554e-46
C9532	5.59829927529687e-50	1.10062340855725	1	0.71	6.33391580007088e-46
C6079	7.61553855027697e-50	1.78553446751266	0.966	0.709	8.61622031578336e-46
C4516	8.56178740911172e-50	1.35528751124149	0.975	0.733	9.686806274669e-46
C4605	2.51004223663398e-49	1.89555096743934	0.966	0.695	2.83986178652768e-45
C8215	4.52402922306096e-49	1.57512829983294	0.958	0.635	5.11848666297117e-45
C4283	4.70269833665371e-49	1.51203232450425	0.966	0.709	5.32063289809e-45
