id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ms4a4b	7.94427474618041e-102	1.33075844624786	0.904	0.62	1.58885494923608e-98
Nkg7	1.03672382498552e-100	1.2674507764755	0.901	0.585	2.07344764997105e-97
Il2rb	2.76698425623635e-90	0.956699481913545	0.887	0.582	5.5339685124727e-87
Ptprcap	3.30762803802574e-85	0.803356306861984	0.893	0.571	6.61525607605147e-82
AW112010	1.40584217418152e-84	1.09701585191436	0.991	0.856	2.81168434836305e-81
Gimap4	2.17666967710792e-75	0.882548886374267	0.857	0.526	4.35333935421584e-72
Gimap3	3.30584304998104e-74	0.750698666047462	0.839	0.495	6.61168609996207e-71
Ctla2a	5.19638479966559e-74	0.542838996616043	0.904	0.638	1.03927695993312e-70
Trbc2	9.67771263744271e-74	0.990789277742703	0.842	0.558	1.93554252748854e-70
Hcst	4.58136991876047e-71	0.856877524262679	0.928	0.78	9.16273983752095e-68
Ctsw	2.39078716209952e-69	0.75141720496891	0.83	0.574	4.78157432419903e-66
Ccl5	4.1245313580706e-66	1.7167047337034	0.836	0.645	8.2490627161412e-63
Sh2d2a	6.85141363736938e-64	0.687253765615617	0.818	0.564	1.37028272747388e-60
Gimap1	3.84172253262402e-63	0.655883194685543	0.857	0.605	7.68344506524804e-60
Gimap6	9.03551066844478e-63	0.735753126927541	0.821	0.463	1.80710213368896e-59
Klrd1	4.09007875827298e-61	0.827844941801942	0.845	0.641	8.18015751654596e-58
Skap1	1.08549505330787e-59	0.692702328486813	0.815	0.579	2.17099010661574e-56
Gzma	1.82260672296899e-59	0.846187824013964	0.794	0.529	3.64521344593798e-56
Gm19585	1.44643852521236e-56	0.613829007447257	0.785	0.578	2.89287705042471e-53
Ets1	2.00865861861003e-56	0.497665260317811	0.887	0.574	4.01731723722006e-53
Sept1	2.65456013538839e-55	0.601830825929631	0.833	0.607	5.30912027077678e-52
Satb1	4.45962116358389e-54	0.671404507817491	0.788	0.52	8.91924232716777e-51
Ptpn22	1.17805029017922e-51	0.590818244588657	0.836	0.629	2.35610058035844e-48
Rgs1	2.23245464464281e-50	0.586102664335003	0.901	0.745	4.46490928928562e-47
Vps37b	5.42568617046643e-49	0.604590357671339	0.884	0.735	1.08513723409329e-45
Gzmb	9.69061076036735e-49	0.93023924409093	0.764	0.524	1.93812215207347e-45
Cd2	1.46925133481801e-48	0.653609269318915	0.779	0.6	2.93850266963601e-45
Gimap5	2.98420842152433e-48	0.589896046775644	0.788	0.583	5.96841684304867e-45
Lck	1.76318222868599e-47	0.590992370368274	0.767	0.468	3.52636445737198e-44
Txk	1.28534791240062e-46	0.669923251378775	0.767	0.504	2.57069582480124e-43
Pdcd4	1.18396883165056e-45	0.637273340753258	0.922	0.653	2.36793766330112e-42
Nabp1	4.89794033691791e-44	0.59519757063313	0.893	0.761	9.79588067383582e-41
Klrk1	4.9865466941025e-44	0.576224706572086	0.815	0.666	9.97309338820499e-41
Ablim1	8.84170399522052e-44	0.525277831921636	0.806	0.491	1.7683407990441e-40
Cd3g	9.68715733836295e-43	0.994459888581809	0.734	0.518	1.93743146767259e-39
Cxcr6	1.1565603657016e-41	0.582302101652074	0.737	0.537	2.3131207314032e-38
Runx3	1.49461397180749e-41	0.503587312209691	0.907	0.79	2.98922794361499e-38
Id2	1.68912909122269e-41	0.530657702393321	0.946	0.788	3.37825818244537e-38
Cd37	3.17687535295147e-41	0.518267452926819	0.869	0.722	6.35375070590294e-38
Lat	3.01658412593349e-40	0.5316157987974	0.761	0.569	6.03316825186699e-37
Gimap7	5.73410256014565e-40	0.548456640462627	0.746	0.584	1.14682051202913e-36
Ikzf3	4.21850724750295e-39	0.408539763618448	0.713	0.434	8.43701449500591e-36
Thy1	1.02207817994446e-38	0.578945554862885	0.761	0.534	2.04415635988891e-35
Cd52	2.03285614572065e-38	0.654349252955471	0.997	0.951	4.0657122914413e-35
Itgal	3.54141919188465e-38	0.470807712122821	0.812	0.673	7.08283838376929e-35
Stat4	1.02449320639993e-36	0.551085027606139	0.764	0.606	2.04898641279985e-33
Cd3d	4.80678236705995e-36	0.900450393540977	0.713	0.523	9.6135647341199e-33
Bcl2l11	3.29710290284283e-34	0.520466994628451	0.866	0.72	6.59420580568566e-31
Ltb	4.92639888024105e-34	0.586190914203452	0.773	0.659	9.8527977604821e-31
Dusp5	1.54600852951784e-33	0.50430046651992	0.884	0.713	3.09201705903568e-30
Trbc1	5.97308717686831e-33	0.739218070583844	0.704	0.5	1.19461743537366e-29
Bcl2	2.04692124092102e-32	0.468899066899721	0.806	0.559	4.09384248184204e-29
Samsn1	2.13874104601272e-32	0.390835598157147	0.955	0.847	4.27748209202543e-29
Prf1	1.15274158624745e-31	0.666018156393052	0.701	0.499	2.3054831724949e-28
Gimap9	9.05770753441391e-31	0.383589756529184	0.731	0.554	1.81154150688278e-27
Pglyrp1	1.7211221914865e-30	0.322567986099673	0.743	0.558	3.44224438297301e-27
Srgn	8.27602057636639e-29	0.451097072315088	0.997	0.952	1.65520411527328e-25
Peli1	1.85373778241476e-28	0.376835790779963	0.86	0.665	3.70747556482951e-25
Hopx	1.90838380909354e-28	0.417461204126192	0.8	0.689	3.81676761818707e-25
Fxyd5	5.82770526219919e-28	0.401163154056734	1	0.96	1.16554105243984e-24
Ccr2	4.67131132412345e-27	0.350486735808079	0.967	0.867	9.34262264824689e-24
Irf8	2.20974965555677e-26	0.347382130732229	0.946	0.849	4.41949931111354e-23
Gm26917	8.9001932071817e-26	0.642048884221022	0.988	0.919	1.78003864143634e-22
Lag3	1.86748622495829e-24	0.400577929210379	0.675	0.533	3.73497244991659e-21
Tcf7	2.57590015281972e-24	0.297260626220552	0.651	0.417	5.15180030563943e-21
