id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Mrc1	0	2.1847280827741	0.999	0.856	0
Maf	0	1.63887849192793	1	0.887	0
Ctsb	7.83993505997533e-306	1.45387563054837	1	0.989	1.56798701199507e-302
Ccl6	1.1872624411615e-301	2.05668243665362	1	0.886	2.37452488232301e-298
Dab2	1.4911190045094e-300	1.51033801923916	0.999	0.91	2.9822380090188e-297
Lgmn	5.68563058820177e-300	1.56028545370708	0.999	0.921	1.13712611764035e-296
Fcgrt	3.14444346721887e-295	1.65578329981091	0.988	0.879	6.28888693443775e-292
Rnase2a	8.79088499962896e-294	2.0956104366257	0.981	0.858	1.75817699992579e-290
Ap2a2	3.04421326082107e-284	1.33209688769137	0.999	0.917	6.08842652164213e-281
Selenop	5.99423962634567e-272	1.66176958666294	0.997	0.898	1.19884792526913e-268
Snx6	4.22615966016782e-266	1.31146937719281	1	0.945	8.45231932033565e-263
Pf4	2.48423148433939e-265	2.16115687440661	0.987	0.843	4.96846296867877e-262
Ccl8	1.11565268095924e-260	3.07064873361788	0.954	0.884	2.23130536191848e-257
Cbr2	1.31668835108769e-259	1.84706611686307	0.927	0.727	2.63337670217539e-256
Folr2	3.85322295156693e-259	1.6862275090051	0.926	0.79	7.70644590313386e-256
Il4ra	3.45980578416771e-245	1.23880083190088	0.995	0.888	6.91961156833543e-242
Ap2m1	9.32386907621205e-244	1.17145676654691	0.996	0.93	1.86477381524241e-240
Ctsd	1.18334449962645e-243	1.4502873505935	1	0.942	2.3666889992529e-240
Ccl9	8.6431450186333e-226	1.51692170406722	0.993	0.843	1.72862900372666e-222
Cela1	1.01421764512456e-218	0.691903554496239	0.88	0.608	2.02843529024913e-215
Arg1	6.49264781401317e-208	1.67285950964035	0.983	0.822	1.29852956280263e-204
Stab1	7.53924716753461e-187	1.28991359004434	0.935	0.759	1.50784943350692e-183
Npl	1.11659835021995e-186	0.93054962179904	0.875	0.759	2.23319670043989e-183
Gda	1.96819748319537e-176	0.875529211356876	0.993	0.896	3.93639496639073e-173
Ednrb	1.17899780442489e-173	1.12090216121263	0.865	0.711	2.35799560884979e-170
