gene	cluster
Ccn3	1
Rspo1	10
S100a16	4
Lamb1	4
Dusp2	5
Chka	1
Spata7	3
Ramp2	3
Selenom	4
F10	0
Adgrf5	3
Pcolce	4
Cygb	4
Fndc1	2
Gbp2	0
Gnb4	1
Cp	0
Ltb	5
Tceal9	0
Mustn1	3
Sept3	1
Stab1	0
Arhgap29	4
Fscn1	4
Hadh	1
Racgap1	8
Il18r1	10
Npnt	10
Atr	1
H2afx	8
Gadd45g	0
Ikzf2	5
Naaa	0
Apoc1	7
Napsa	0
Tcim	3
Ccl9	6
Diaph3	8
Tppp3	0
Cyp7b1	2
Hepacam2	7
Gna11	4
Gas1	4
Bpgm	2
Ccna2	8
Nr4a2	1
Cox4i2	7
Cystm1	2
Hist2h2ac	8
Ppic	4
Aldh1a1	10
Ptprcap	5
Lgi4	9
Pmepa1	0
Nrn1	9
Ctsw	5
Kif23	8
Rcn3	0
Smc2	8
Itm2a	4
Ccnd1	3
Gas6	0
Tsc22d1	4
Csrp1	4
Cdk1	8
Tcf15	3
Ifitm6	0
Serpina3g	2
C1qa	6
Creb3l1	2
Apoe	6
Igsf9b	7
Asgr2	1
Ociad2	2
Sox10	9
Selp	7
Esco2	8
S100b	9
Bpnt1	1
Adgrd1	10
Tcrg-C4	5
Lsp1	6
Prelp	2
Fbln5	2
Tnfrsf18	5
Pde5a	4
Upp1	1
Pdpn	4
Slc39a8	10
Fahd1	1
Cbr1	1
Osr1	2
Gm45716	5
Kcnj8	2
Bicc1	4
Klrg1	5
Col18a1	9
Gm14636	1
Klrb1b	5
Mapk13	10
Ighm	0
Matn2	9
Thbs4	4
Fabp7	9
Anln	8
Fmo5	7
Htra3	2
Kitl	4
Il1r2	1
C730034F03Rik	7
Robo2	2
Akap12	4
Bcam	10
C1qb	6
Abcb1a	3
Cyyr1	3
Nr4a3	1
Txk	5
Scgb3a1	3
Ctsk	4
Scarb1	3
Gimap4	5
Lig1	8
Tnfaip2	0
Irf8	0
Id1	3
Ddit4	1
Rasl11a	2
Pgm5	3
Col5a3	2
Zbtb20	4
1500002C15Rik	7
Dbi	6
Mt1	6
Mmp2	4
Txndc16	1
Rhoj	4
Pi16	1
Gm26917	0
Ace	3
Cd9	0
Thy1	5
Malt1	0
Ceacam1	1
Il1b	6
Cyp26b1	7
Adgrl4	3
Rhoc	4
Plk2	0
Actn1	4
Cd4	5
Styk1	5
Ackr4	2
Marc2	0
Gimap3	5
Hivep3	1
Snhg18	4
Ptgis	4
Ugdh	1
Atp2a2	0
BE692007	1
Ckap2l	8
Adam11	9
Gstt1	10
Ltbp4	4
Maoa	1
Il2	7
Cks2	8
Esam	3
Etv1	1
Sox17	3
Atp6v0d2	7
Mab21l2	2
Clec9a	1
Sorbs2	9
Flrt2	10
Gadd45a	1
Thbd	3
Cfb	10
Icos	5
Gfra1	9
Sgk1	0
Anpep	1
Flrt3	1
Cela1	1
Tkfc	10
Wfdc17	6
Alcam	10
Osm	6
Sox4	4
Abca8a	9
Fpr2	1
Smim24	1
Rbpms	4
Gpx8	4
Mcemp1	1
Smtn	3
Tcf21	2
Cd2	5
Sox18	3
Gpr183	0
Rab27b	10
Car4	1
Cdca3	8
Wnt5a	2
Selenop	6
Anxa4	0
Vwf	3
Cmah	10
Hspg2	4
H1fx	2
Egr1	0
Gimap7	5
Gbp2b	1
C1qc	6
Tgfb2	9
Cnn3	4
Klrk1	5
Pappa	9
Lgmn	6
Cfh	0
Anxa1	0
Wdfy4	0
Dstn	0
Rtn1	10
Gda	6
Tnxb	2
Rnase4	0
Cd55	10
Timd4	1
Ahi1	1
Aldh1b1	1
Scp2	0
Ecm1	0
Emp1	4
Plod2	4
Ctsl	6
Furin	0
Art3	9
Flt4	3
Gjc1	2
Lif	7
Spc24	8
Emp2	9
Gfod2	7
Cenpa	8
Rflnb	4
Crip1	6
P2ry14	1
Cd59a	9
Ccrl2	0
Hopx	5
Rnase6	0
Srxn1	1
Cldnd1	0
Tk1	8
Atad2	8
Lat	5
Loxl1	4
Pglyrp1	5
Cebpd	0
Tnfsf9	1
Sema5a	2
Ckm	7
Enpep	2
Sbsn	10
Aplnr	3
Itga1	4
Adm	3
Klrb1f	5
Tnfsf8	7
Scd1	9
Traf1	1
S1pr1	3
Tgm2	6
Gngt2	0
F3	2
Mfap2	2
S100a6	6
Sdc4	6
Cd160	5
Socs2	0
Enpp2	1
Errfi1	0
Ifit1bl1	7
Lyz2	6
Palmd	3
Neb	5
Pmp22	0
Tubb4b	0
Prkcq	5
Grb10	2
Col20a1	9
Plk1	8
Hist1h2ak	8
F2r	4
Pcdh7	2
Slc16a3	0
Ano1	10
Irf4	1
Col14a1	4
Kif15	8
Gpr84	1
C1qtnf9	3
Clic5	3
Myct1	3
Hand2	9
Akr1c13	1
Lgals3	6
Cd300lg	3
Ehd2	4
Hist1h4i	0
Hist1h1a	8
Ackr3	10
Serpinb6a	0
Srgn	6
Pla1a	2
Adam23	9
Cdkn1a	6
Pou2f2	0
Phgdh	5
Sgip1	3
Gk	1
Pbk	8
Ezr	0
Bst2	6
Hells	1
Gfra2	9
Vwa1	3
Gm19585	5
Cd93	3
Elovl6	2
Lamc1	4
Mcm7	8
Cmpk2	1
Cacna2d1	2
Kdelr3	2
Cd300lf	0
Tmem176a	6
Espn	10
Spon1	1
Aspm	8
Sned1	2
Plxdc2	0
Lama2	2
Fkbp10	2
Heg1	4
Rad51	8
Txn1	6
Hspa1a	0
Lhfp	4
Plxna4	10
Rai14	1
Myo1d	10
Dgat1	1
Olfml2b	2
Mgll	3
Mttp	7
Vcl	4
Nfia	4
Islr	2
Ccne2	8
Abca8b	9
Psd	2
Pdia4	0
Vegfa	0
Slc40a1	1
Gdf3	1
Mmp19	0
Lmcd1	3
Bub1b	8
Atp1a2	9
Tmem123	0
Plbd1	6
Stap1	1
Chp2	1
Rian	10
Tmem229a	2
Tagap	1
Bend5	3
Dag1	4
Rrad	1
Palld	2
Map1b	9
Nes	3
Id2	0
Dab2	6
Prkar2b	4
Clspn	8
Tmem200a	2
Nrxn2	10
Hey1	7
Atp2a3	2
Itgb2	0
Calhm6	1
Uap1	1
Chdh	7
Wnt4	10
Klf4	0
Smpd3	10
Cdh1	1
Mdh2	6
Gpnmb	9
L1cam	9
Icam2	3
Ppa1	0
Adgre4	1
Cd96	5
Hist1h2bc	0
Tinagl1	3
Prtn3	1
Lmna	0
Cdkn3	8
Nnmt	10
Samsn1	0
Ccdc184	7
Car8	3
Rdh10	10
Plcb4	4
Rora	5
Mgst2	5
Ints6l	1
Gbp5	0
Slit3	2
Tcea3	10
C1ra	4
Slc9a3r1	0
Cd209b	7
Ass1	0
Fgr	0
Ifi27l2a	6
Cfp	6
Tyms	8
Maf	6
Bcl2	5
Colec12	4
Sell	0
Fosb	0
Cybb	6
H2-Oa	1
Timp2	0
Hs3st1	5
Hspa1b	0
Serpinf1	2
S1pr3	9
Plce1	9
Ets1	5
Uhrf1	8
Mt3	7
Neat1	6
Gbp4	0
Ramp1	2
Mxra8	4
Slc43a3	2
Vdr	1
Alpk2	7
Egr2	0
Cdh13	3
Mdk	2
Anxa2	6
Cnp	0
Khk	1
Reck	2
Hist2h2bb	8
Ms4a4d	2
Nrp2	0
Mast4	4
Ltbp3	2
Plaur	0
Sh2d2a	5
Cdc20	8
Ndrg1	9
Emilin2	6
P4ha2	2
Bcl2a1a	0
Plac8	6
Pigr	7
Fgfr1	9
Tead1	4
Mcm6	1
Ms4a4c	0
Fgf13	7
Marcksl1	0
Celf4	1
Myc	1
Gsto1	0
Hist1h1c	0
Npl	1
Itgax	1
Lima1	0
Ryk	2
Ccr2	6
Mmp14	0
Skap1	5
Spc25	8
Nbl1	10
Lama4	4
Ptprf	10
Tspan7	3
Tspan18	3
Serpinb9	2
Itgb7	0
Bcr	3
Clec4d	0
