genes	geneCluster
Retnla	0
Spp1	0
Cxcl10	0
Cd163	0
G0s2	0
Ifitm1	0
Cd209a	0
Ccl3	0
Ccl4	0
Ptgs2	0
Iigp1	0
Rsad2	0
Slc7a2	0
Igf1	0
Hist1h4d	0
Hmgb2	0
Rgs10	0
Ednrb	0
Rgs1	0
Hp	0
Ly6c2	0
Cytip	0
Mrpl27	0
Cbr2	0
Gja1	0
Tnip3	0
Hmox1	0
Ifit1	0
Hbegf	0
Ifit2	0
Ckb	0
Il1rn	0
Fcrls	0
Ifi205	0
AA467197	0
Cx3cr1	0
Ltc4s	0
AW112010	0
Hist1h1e	0
Folr2	0
Vcan	0
Hilpda	0
Vcam1	0
Clec4e	0
Ms4a7	0
Eif1b	0
Clec10a	0
F13a1	0
Isg15	0
Phlda1	0
Ifit3	0
F10	0
Gbp2	0
Stab1	0
Hadh	0
Gadd45g	0
Naaa	0
Napsa	0
Ifitm6	0
Lsp1	0
Ighm	0
Tnfaip2	0
Irf8	0
Ddit4	0
Gm26917	0
Malt1	0
Plk2	0
Marc2	0
Atp2a2	0
Sgk1	0
Osm	0
Gpr183	0
Anxa4	0
Egr1	0
Cfh	0
Rnase4	0
Scp2	0
Ecm1	0
Furin	0
Ccrl2	0
Rnase6	0
Cldnd1	0
Traf1	0
Gngt2	0
Socs2	0
Errfi1	0
Tubb4b	0
Slc16a3	0
Hist1h4i	0
Pou2f2	0
Cd300lf	0
Plxdc2	0
Hspa1a	0
Pdia4	0
Vegfa	0
Mmp19	0
Tmem123	0
Plbd1	0
Id2	0
Itgb2	0
Calhm6	0
Klf4	0
Ppa1	0
Samsn1	0
Gbp5	0
Ass1	0
Fgr	0
Sell	0
Fosb	0
Cybb	0
Hspa1b	0
Gbp4	0
Egr2	0
Cnp	0
Nrp2	0
Plaur	0
Emilin2	0
Bcl2a1a	0
Ms4a4c	0
Marcksl1	0
Gsto1	0
Hist1h1c	0
Ccr2	0
Itgb7	0
Clic4	0
Msrb1	0
Mxd1	0
Vat1	0
Fgl2	0
Cd300c2	0
E230029C05Rik	0
Oasl2	0
Dnajb1	0
Sirpb1c	0
Smc4	0
Mef2c	0
Clec4n	0
Lpar6	0
Rgs2	0
Dusp5	0
Odc1	0
Pltp	0
C3ar1	0
Fbxl5	0
Ltb4r1	0
Sowahc	0
Creld2	0
Ifi202b	0
Nabp1	0
Gclm	0
Slfn5	0
Cd72	0
Cited2	0
Txnrd1	0
Ero1l	0
Nr4a1	0
Gadd45b	0
Fdps	0
Atf3	0
Pkib	0
Bcl2a1d	0
Cd38	0
Kcnq1ot1	0
Sdf2l1	0
Nlrp3	0
Ciita	0
Bst1	0
Icam1	0
Lyst	0
Lpp	0
Jaml	0
Socs1	0
Cbfa2t3	0
Smpdl3a	0
Cd83	0
Axl	0
Tuba1c	0
Gm26532	0
Ppt1	0
Ms4a8a	0
Pid1	0
Bnip3	0
Slfn1	0
Myof	0
Msr1	0
Syngr2	0
Hmgcs1	0
Vps37b	0
Prkcd	0
Clec12a	0
Mdh1	0
Plek	0
Zfhx3	0
Tspan13	0
Itgam	0
Acp5	0
Olfm1	0
Ifi44	0
Pcna	0
Klf2	0
Ccnd2	0
Etv3	0
Me2	0
Hk2	0
Txndc5	0
Cd37	0
Hyou1	0
Nfil3	0
Selenoh	0
Tlr2	0
Entpd1	0
Nfkbiz	0
St8sia4	0
Ldlr	0
Ccdc88a	0
Dusp6	0
H2-DMb1	0
Cd274	0
Idh1	0
Trib1	0
Tmpo	0
Adam8	0
Cxcl16	0
Irf7	0
H2afv	0
Hck	0
Pim3	0
Igtp	0
Rnasel	0
Tent5a	0
Gcnt2	0
Creg1	0
Itpkb	0
Nxpe5	0
Hsph1	0
Hfe	0
Cd44	0
Lmo4	0
Hmgn2	0
Lfng	0
Batf3	0
Anxa3	0
Lztfl1	0
Cyc1	0
Esd	0
Resf1	0
Acsl5	0
Runx3	0
Bhlhe40	0
Dok2	0
Pla2g7	0
Rel	0
H1f0	0
Gbp3	0
Arrdc3	0
Csf2rb	0
Dennd4a	0
Cdk6	0
Lap3	0
Csrnp1	0
Trem2	0
Slc4a7	0
Isg20	0
Sbno2	0
Cyp4f18	0
Ppp1r15a	0
Gbp7	0
Adam15	0
Ncoa7	0
St3gal4	0
Abca1	0
Shtn1	0
Fchsd2	0
Alas1	0
Rhob	0
Ddt	0
Creb5	0
Ptafr	0
Ptgs1	0
Nucb2	0
Sdf4	0
Clcn5	0
Cemip2	0
Ifi207	0
C5ar1	0
Zfp622	0
Atxn1	0
Ncf1	0
Grina	0
Cpd	0
Ifih1	0
Itsn1	0
Zfp703	0
Adgre1	0
Neurl3	0
Metrnl	0
Emb	0
Golga3	0
Tcf7l2	0
Hspd1	0
Ifi211	0
Lipa	0
Fcgr4	0
Phf11d	0
Polr2l	0
Snx9	0
Filip1l	0
Acaa2	0
Ogt	0
Blvrb	0
Chd7	0
Lair1	0
Ak2	0
Ell2	0
Bcl2l11	0
Phyh	0
Akap7	0
Sfxn1	0
Stat1	0
Sdad1	0
Clec4a2	0
Atp6v0a1	0
Mtch2	0
Tmem37	0
Lilrb4a	0
Nrp1	0
Peli1	0
Gtpbp4	0
Nrip1	0
Rnf19b	0
Lrp6	0
Secisbp2l	0
Ap1b1	0
Fam162a	0
Gm21188	0
Pik3ap1	0
Arrdc4	0
Runx1	0
