geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Col3a1	2010300C02Rik	Mob4	Gm14123	Negr1	Il1rapl1	Cldn3	Zgrf1	Padi2
Col5a2	Lipt1	Bzw1	Gm14494	Klhl32	Nlgn3	Stx1a	Cenpe	Tnfrsf9
Gm38211	Gm16152	Clk1	Myh7b	Rragd	Tceal3	Muc3	Depdc1a	Tnfrsf25
Wdr75	Chst10	Ndufb3	Gm14277	Aldh1b1	Plp1	Gm3054	Ccne2	Tnfrsf4
Slc39a10	Gm37309	Cflar	Slc32a1	Gm12447	Rragb	Muc3a	Mms22l	Tnfrsf18
Cavin2	Npas2	Casp8	Gm11448	Tmeff1	Cnksr2	Tmem184a	Melk	Jakmip1
Myo1b	Gm15832	Sumo1	Gm14302	Whrn	Map7d2	Cyp3a11	Smc2	Clnk
Nemp2	Gm23722	Nop58	Tnnc2	Brinp1	Gpm6b	Cyp3a25	Stil	Txk
Mfsd6	Gm5100	Bmpr2	Gm14379	Frem1	Pex5l	Gm43597	Rad54l	Areg
Inpp1	Gm16894	Fam117b	Flicr	3110021N24Rik	Sox2ot	Hepacam2	Nasp	A930024E05Rik
Hibch	Gm37347	Nbeal1	Gm14634	C530005A16Rik	Sox2	Tac1	Kif2c	Rhof
1700019D03Rik	Gm38070	Abi2	Rpl36-ps10	Rims3	Postn	Slc13a1	Cdc20	Card11
Pms1	Il18r1	Raph1	Dcaf12l2	Hpcal4	Bche	Mgam	Cdca8	Rab19
Ormdl1	Slc9a4	Ino80d	Atf1-ps	Gm12944	Paqr6	Prss2	Clspn	Trbc1
Osgepl1	Mfsd9	Ndufs1	Gm7327	Gm12981	Syt11	Tmem139	Cenps	Trbc2
Asnsd1	Gpr45	Eef1b2	Gm5391	Gm12999	1500004A13Rik	Aoc1	Dbf4	Gimap8
Hecw2	1500015O10Rik	Klf7	Avpr2	Trnp1	Hmgcs2	Fabp1	Tyms	Gimap9
Gtf3c3	Txn-ps1	Creb1	Gm15361	Sh2d5	Kcna2	Reg3b	Cenpa	Gimap4
Pgap1	Dnah7b	Idh1	Gm5937	Kif17	Gstm7	Reg1	Tacc3	Gimap7
Rftn2	Gm28151	Acadl	Gm7173	Hspb7	Sort1	Reg3g	Ncapg	Gimap1os
Gm10561	Gm8337	Atic	Rpl13-ps5	Fv1	Celsr2	Nat8f4	Ccdc18	Gimap1
Mars2	4933411E06Rik	Fn1	Gm9078	Gm43017	Ntng1	Mkrn2os	Pole	Gimap5
Plcl1	Tmeff2	Rpl37a	Gm14859	9330182L06Rik	Col11a1	Plekhg6	Ung	4833403J16Rik
1700066M21Rik	Gm17767	Arpc2	Gm9143	4921504A21Rik	Dpyd	Clec2h	Kntc1	Gimap3
Tyw5	Gm8420	Aamp	Gm7823	6030443J06Rik	F3	Gucy2c	Zcwpw1	Osbpl3
Maip1	Gm3940	Pnkd	Tmsb15l	Crygn	Bcar3	Far2	Mcm7	Il12rb2
Spats2l	Gm36955	Tmbim1	Hmgb1-ps2	Actr3b	Ndst3	Igsf23	Ezh2	Cd8b1
Kctd18	Gm37370	Slc11a1	Gm15148	Kcnk3	Tacr3	Ceacam20	Mad2l1	Cd8a
Aox1	E330011M16Rik	Ctdsp1	Gm15191	Gm43852	Pdp1	Erich4	Mcm2	Nup210
Aox3	Gm17971	Cnppd1	Gm8662	Msantd1	Slc44a1	Cyp2b10	Rad18	Klrg1
Ppil3	Gm6822	Retreg2	Gm15247	2210406O10Rik	Ctnnal1	Fcgbp	Fancd2	Slc2a3
Nif3l1	Gm8292	Stk16	Gm16399	Gm7816	Epb41l4b	Lgals4	Cdca3	Lag3
Orc2	Gm38056	Dnpep	Gm5842	Ppargc1a	Lpar1	Slc7a9	Ncapd2	Cd27
Fam126b	Gm37382	Cul3	Gm5845	Kit	Pappa	Ceacam18	Rad51ap1	Klrb1a
Trak2	Gm37607	Dock10	Rpl31-ps15	Gm43101	Megf9	0610005C13Rik	Foxm1	Klrb1c
Stradb	Gm15834	Mff	Gm1647	Gm43102	Cyp2j6	Ush1c	Lockd	Klrb1b
Tmem237	Gm20257	Agfg1	Arl14	Slc4a4	Cyp2j9	Gm44639	Lig1	Klrb1f
Als2	Gm37760	Trip12	Gm37240	Rassf6	Kank4	Slc28a1	Ccne1	Cd69
Fzd7	G730003C15Rik	Sp110	Gm43714	Parm1	Gm12688	C230038L03Rik	E2f8	Klre1
Wdr12	Cdk15	Sp140	Gm42809	4930458D05Rik	Foxd3	Tmc5	Fanci	Klrd1
Carf	D430013B06Rik	Sp100	S100a5	4930515G01Rik	Foxd2os	Anks4b	Ticrr	Klrk1
Cyp20a1	Gm38125	Cab39	Sprr2b	Rnft2	Pou3f1	Sbk1	Prc1	Klrc2
6030460B20Rik	Gm37531	Itm2c	Gm30023	Cux2	Grik3	Prap1	Ddias	Klrc1
Pard3b	Ica1l	Psmd1	Rpl31-ps11	Gm15481	Stmn1	Urah	Rrm1	Klri2
Gm38012	Gm15464	Ncl	Gm5070	Gm6444	Ephb2	Nlrp6	Plk1	Klra4
Nrp2	Eif4a-ps4	Ptma	Rpl21-ps11	Adgrd1	Pla2g5	Cdhr5	Kif22	Klra7
Gm37121	Rpl18-ps1	Eif4e2	Gm4596	Gm10874	Igsf21	Smlr1	Mki67	Styk1
Ino80dos	Gm37039	Gigyf2	Myoz2	Foxp2	Fbxo44	Misp	Fbxo5	Ncr1
Gm20342	Rpl17-ps1	Inpp5d	Gm9379	Atp6v0c-ps2	Fbxo2	Creb3l3	Ulbp1	Rinl
Fastkd2	Gm37205	Dgkd	Cfi	Hoxaas2	Ajap1	Gm4129	Gm4739	Hcst
Mettl21a	Gm38351	Hjurp	Gm9396	Gm29438	Arhgef16	Myo1a	Cenpw	Nkg7
Fzd5	Gpr1	Arl4c	Gm42997	Lrig1	Gm13111	Slc39a5	Cdk1	Mctp2
Plekhm3	Zdbf2	Agap1	Gm40155	Atp2b2	Tmem88b	6430710M23Rik	Parpbp	AU020206
Pikfyve	Gm26649	Cops8	Gm43689	Cacna1c	Sema3e	Tm6sf2	E2f7	Art2b
Rpe	Ccnyl1	Lrrfip1	Wdr63	Gm26826	Gm43519	Ces2c	Shcbp1	Lat
Kansl1l	Rpl10a-ps1	Ube2f	Mcoln3	Gpr162	Uchl1	Ces2e	Ckap2	Spn
Lancl1	D630023F18Rik	Ilkap	AI115009	Nrip2	Phox2b	Marveld3	Cenpu	Sept1
D230017M19Rik	Gm37570	Hdac4	Rps11-ps3	Clec2e	Rasl11b	Acta1	Neil3	Pkp3
Pecr	Gm38387	Ndufa10	Gm13301	2610017A05Rik	C530008M17Rik	Oit1	Ankle1	Ipcef1
Xrcc5	Gm38162	Cops9	Gm5859	Pgam1-ps2	Adgrl3	Tmem253	Mcm5	Gm33104
Smarcal1	Gm8840	Rnpepl1	Stra6l	Lrfn1	Btc	Cideb	Asf1b	Themis
Igfbp5	Gm28112	Gpr35	Gm568	Catsperg1	Art3	Gata4	Gins3	Prf1
