geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Tab3	Gm43221	Syf2	Trbv13-1					
5430427O19Rik	Gm19391	Runx3	Trbv19					
Pola1	C130013H08Rik	Clic4	Gm44091					
Pdk3	Gm9889	Srrm1	Gm1965					
Klhl15	Gpr88	Srsf10	Gm44101					
Apoo	Gm9761	Pnrc2	Gm26799					
Maged1	Gm42892	Fuca1	Gm44816					
Gspt2	Plppr4	Hmgcl	Gm45235					
Zxdb	Gm4332	Lypla2	Gm8667					
Spin4	Gm43300	Eloa	Gm45507					
Arhgef9	Gm42664	Rpl11	BC048559					
Amer1	Gm42928	Hnrnpr	Gm26860					
Zc4h2	Gm42929	Kdm1a	Gm48671					
Zc3h12b	Slc44a3	C1qb	Diras1					
Las1l	A730020M07Rik	C1qc	Myrfl					
F630028O10Rik	Gm43823	C1qa	Capn9					
Heph	Gm43609	Cdc42	Gm18760					
Ar	4633401B06Rik	Usp48	Trav5-4					
Ophn1	Abca4	Ece1	Gzmf					
Yipf6	Gm17494	Eif4g3	Gm47171					
Efnb1	Gm43569	Hp1bp3	Gm12253					
Pja1	Gm43283	Ddost	1110028F11Rik					
Eda	Prss12	Minos1	2410003L11Rik					
Pdzd11	Gm15400	Capzb	Zpbp2					
Dlg3	Gm4617	Mrto4	Gm11707					
Snx12	Gm42826	Ubr4	Gm48621					
Foxo4	Gm20568	Rcc2	D130043K22Rik					
Med12	Gm43011	Sdhb	Gm47003					
Zmym3	Gm43010	Atp13a2	Gm26819					
Nhsl2	Gm43009	Necap2	Acot12					
Rtl5	Gm43006	Szrd1	Gm48745					
Hdac8	Gm43005	Spen	Gm17509					
Phka1	Gm42515	Ddi2	BC025446					
Chic1	Gm42514	Efhd2	Tmprss6					
Jpx	Gm43765	Prdm2	Nr1i2					
Ftx	Gm43751	Dhrs3	Gm26732					
Slc16a2	C230031I18Rik	Tnfrsf1b	Btnl5-ps					
Abcb7	Gm42973	Plod1	Btnl6					
Zdhhc15	Gm42972	2510039O18Rik	Gm26785					
5530601H04Rik	Gm16238	Agtrap	Gm37176					
Magee1	1500005C15Rik	Srm	AC109138.8					
Atp7a	Gm42587	Tardbp	Gm10143					
Tlr13	Gm43654	Pgd	Ankrd1					
Taf9b	Gm43653	Kif1b	AC133103.1					
Lpar4	Gm43072	Pik3cd	Khdc1b					
P2ry10b	Egf	Eno1	Dmrta1					
Itm2a	Gm43522	Rere	Gm5861					
2610002M06Rik	Gm43352	Errfi1	Gm8953					
Brwd3	Gm42872	Park7	Trbv13-2					
2810403D21Rik	Gm42876	Vamp3	Gm30211					
Hmgn5	Gm9403	Thap3	4930471E19Rik					
Gm6377	Gm42874	Acot7	Il3					
Apool	Gm43254	Rpl22	Slc39a2					
Chm	Slc9b2	Tprgl	1600022D10Rik					
Klhl4	2810428J06Rik	Rer1	Prnd					
Nap1l3	Gm43379	Ski	Gp6					
Pcdh19	4930539J05Rik	Gnb1	Csta3					
Tspan6	Gm43430	Nadk	Stfa3					
Srpx2	Slc39a8	Cdk11b	Gpr52					
Cstf2	Gm43429	Ssu72	1700016C15Rik					
Trmt2b	Gm43428	Mrpl20	Olfr352					
Timm8a1	Gm31243	Ccnl2	4930440I19Rik					
Gla	Gm42822	Aurkaip1	Slc5a12					
Armcx4	Ddit4l	Ube2j2	Pla2g4b					
Armcx1	Gm43403	Sdf4	Cpa3					
Armcx6	Gm43088	Isg15	Serpini2					
Armcx2	Gm15460	Noc2l	Fcrl5					
Zmat1	Gm16060	Gm15772	Sprr2a1					
Gprasp1	Gm43162	Cdk6	Cym					
Armcx5	Bmpr1b	Fam133b	Amy2a3					
Bhlhb9	Gbp2b	Gatad1	Arhgef38					
Gprasp2	Gm5857	Ankib1	Adh4					
Arxes2	Gm43707	Krit1	Clca4a					
Arxes1	Gm43560	Akap9	Calb1					
Bex2	Clca3a2	Sri	Hes2					
Tceal5	Clca1	Tmem243	Tmed11					
Tceal1	Col24a1	Dmtf1	Hnf1a					
BC065397	Gm17501	Rsbn1l	Sh2d6					
Slc25a53	Rpl36a-ps2	Ptpn12	Chst13					
Zcchc18	Spata1	Fgl2	Cuzd1					
Fam199x	Gm10288	Pmpcb	Cldn23					
Nrk	Ttll7	Dnajc2	2010001M07Rik					
Mum1l1	Rpsa-ps10	Psmc2	Gcnt3					
Rnf128	4930555A03Rik	5031425E22Rik	Gm10030					
Tbc1d8b	Gipc2	Kmt2e	Gm15200					
Rbm41	Gm42967	Srpk2	Rdh9					
Mid2	Gm43858	Tomm7	G6pc					
Psmd10	Gm43857	Nub1	Nags					
Atg4a	Ak5	Rheb	Lratd1					
Col4a5	A530083M17Rik	Galnt11	Trim38					
Nxt2	Gm6520	Kmt2c	1810028F09Rik					
Tmem164	Cth	Insig1	Mcpt4					
Ammecr1	Gm43362	Rbm33	Fer1l6					
Chrdl1	Gm43307	Dnajb6	Gm38563					
Alg13	Gm26857	Hadha	Ly6g2					
Lrch2	Plag1	Hadhb	1810044K17Rik					
Tmem29	4930430E12Rik	Slc35f6	Tpsb2					
Apex2	Gm11810	Tmem214	Gm22146					
Maged2	4930412C18Rik	Ost4	Trim40					
Fgd1	Rad54b	Preb	Gm50255					
Tsr2	Fsbp	Atraid	Cyp2c29					
Fam120c	1700123M08Rik	Mpv17	Gm38336					
Phf8	Gm11826	Gtf3c2	Mettl21c					
Iqsec2	Gm11868	Snx17	Gm29112					
Kantr	Slc7a13	Ppm1g	2810459M11Rik					
Tspyl2	Atp6v0d2	Nrbp1	Gm7967					
Gpr173	Faxc	Mrpl33	F730311O21Rik					
Shroom2	Gm37900	Babam2	Gm37634					
Mageh1	Gm11878	Fosl2	Gm16701					
Kctd12b	Gm11889	Ppp1cb	Fcer1a					
Nbdy	Gm11914	Pisd	Acbd7					
Acot9	Epha7	Ywhah	Gm10851					
Sms	Bach2os	Ctbp1	Gm13411					
Mbtps2	Ankrd6	Maea	Lrrc26					
Bclaf3	Gm11942	Slbp	Dapl1					
Map3k15	Pm20d2	Letm1	Itgb6					
Phka2	Srsf12	Nsd2	Myo3b					
Cdkl5	Spaca1	Mxd4	9830144P21Rik					
Rai2	Gm12350	Rnf4	AU019990					
Nhs	Gm12366	Fam193a	Hnf4aos					
Reps2	Gm12389	Add1	Fam209					
Txlng	Tmem215	Htt	Zfp965					
Syap1	Gm6297	Lrpap1	Ptk6					
Ctps2	Gm12396	Grpel1	Gm15444					
Car5b	Kif24	Tbc1d14	Gm43465					
Siah1b	Gm13307	Mrfap1	Gm4610					
Bmx	Gm20878	Lyar	Clca3b					
Pir	Gm13305	Tmem128	Dmrta2					
Piga	Gm10600	Wdr1	Platr16					
Gemin8	Gm21955	Rab28	Prdm16os					
Ofd1	Ccl19	Bod1l	Gm9970					
Trappc2	Phf24	Fbxl5	Gm1043					
Tceanc	1700022I11Rik	Bst1	Gm43042					
Tlr8	Unc13b	Cd38	Gabra2					
Prps2	Sit1	Qdpr	Lhx5					
Arhgap6	Rmrp	Lap3	Gm34086					
Gm15261	Arhgef39	Med28	Gm43661					
Hccs	Gm12454	Dhx15	Ocm					
Mid1	Car9	Smim20	Bhlha15					
G530011O06Rik	Fam221b	Rbpj	Trbv12-2					
Zfhx4	Gm12481	Stim2	9530036M11Rik					
Gm8797	Gm12504	Arap2	Igkv1-117					
Pkia	1700055D18Rik	Rell1	Igkv2-109					
Zc2hc1a	Trmo	Tbc1d1	Igkv10-96					
Il7	Gm16731	Klf3	Igkv12-44					
Stmn2	Tbc1d2	Rfc1	Igkv8-28					
Hey1	Anks6	Rpl9	Igkv8-21					
Zbtb10	Gm12460	Smim14	Il5ra					
Zfp704	Gm12466	Ube2k	Klrb1					
Pag1	Smc2os	Pds5a	Vmn2r29					
Gm38335	AI427809	Rhoh	2200002J24Rik					
Fabp4	Rps15a-ps8	Rbm47	Mrgprb2					
Zfand1	Gm12508	Tmem33	E030018B13Rik					
Snx16	Fam206a	Slc30a9	Gm44689					
Lrrcc1	Palm2	Atp8a1	Trpm5					
E2f5	D630039A03Rik	Commd8	Smim38					
Car13	Gm12543	Nfxl1	Defa30					
Gm9733	Wdr31	Tec	Dpep3					
Sirpb1a	Bspry	Slain2	Gm50241					
Sirpb1b	Gm11483	Ociad1	Robo3					
Cyp7b1	Tnfsf15	Fip1l1	Gm47232					
Mtfr1	Gm11249	Chic2	Gm48719					
4632415L05Rik	Gm11221	Tmem165	Gm47828					
Naaladl2	Gm11223	Clock	Nr2e3					
Tnfsf10	Rps18-ps1	Paics	C2cd4b					
Pld1	Ptprd	Srp72	Gm28731					
Tnik	Gm11261	Hopx	Dnaaf4					
Eif5a2	Gm11263	Rest	Myo5c					
Mecom	Gm11410	Polr2b	Gcm1					
Mynn	Gm11266	Ythdc1	Cpne4					
Gpr160	Gm23412	Utp3	Gm2449					
Prkci	Bnc2	Rufy3	Cck					
Zmat3	Gm12421	Mob1b	Gm17021					
Mfn1	Adamtsl1	Dck	Mfsd4b5					
Gnb4	Acer2	Ankrd17	1700027J07Rik					
Mrpl47	Mrpl48-ps	Pf4	Gm38575					
Ccdc39	Gm26566	Cxcl2	5330439M10Rik					
Gm43667	Gm12607	Rchy1	Hbq1a					
Mccc1	Cdkn2a	G3bp2	1700047K16Rik					
Acad9	Gm12669	Uso1	Heatr9					
D3Ertd254e	Gm12666	Naaa	Mpo					
Exosc9	Gm12655	Sdad1	6030468B19Rik					
Bbs7	Gm12693	Cxcl9	Gm34215					
Trpc3	Gm12704	Cxcl10	Foxa1					
Cetn4	Junos	Scarb2	Ighv5-12					
Fgf2	Gm12708	Sept11	Ighv7-1					
Nudt6	Fggy	Ccni	Ighv4-1					
Spata5	Gm12696	Cnot6l	Ighv11-2					
Spry1	0610025J13Rik	Anxa3	Ighv10-3					
Ankrd50	Patj	Bmp2k	Ighv8-12					
Intu	Angptl3	Antxr2	Tcrg-V4					
Hspa4l	Gm12689	Hnrnpd	Gm10782					
Mfsd8	Efcab7	Hnrnpdl	Gm16741					
Gm2011	Ccdc50-ps	Sec31a	Gm7480					
Abhd18	Dnajc6	Cops4	Ctsg					
6430590A07Rik	Wdr78	Plac8	Fam167a					
Larp1b	Gm12715	Mrps18c	Lrrc63					
Sclt1	Gm12726	Wdfy3	Gm10389					
D3Ertd751e	Tmem61	Aff1	Gsdmc4					
Pabpc4l	Pars2	Hsd17b11	Cacna1i					
Pcdh18	Fam151a	BC005561	Gm41409					
Slc7a11	Cyb5rl	Gbp9	Gm9961					
Noct	Gm12802	Gbp4	2010309G21Rik					
Rab33b	4933424M12Rik	Lrrc8c	Iglv3					
Maml3	Lrp8	Zfp326	Olfr164					
Gm37465	Orc1	Zfp644	Gm31583					
C130089K02Rik	Gm12743	Evi5	2600002D14Rik					
Foxo1	Gm17354	Rpl5	Gm15340					
Cog6	Ttc39a	Mtf2	Prss34					
Lhfp	9630013D21Rik	Tmed5	9630028I04Rik					
Gm42899	Gm12804	Dr1	Gm49838					
Nhlrc3	Foxd2	Atp5k	Gm20540					
Proser1	Pdzk1ip1	Gak	Gm17133					
Rfxap	Gm12854	Crlf2	Gm49870					
Spg20	Pik3r3	Chfr	Gm49871					
Dclk1	Ccdc17	Golga3	C430042M11Rik					
Nbea	Mutyh	Ankle2	8430430B14Rik					
Tm4sf1	Tctex1d4	Ep400	Aqp4					
Wwtr1	Gm25099	Pitpnb	Gm46620					
Pfn2	Gm12840	Tpst2	Gm50386					
Siah2	Gm12844	Cmklr1	Gm50152					
Med12l	9530034E10Rik	Iscu	Gm50322					
P2ry14	Ptprf	Selplg	Ms4a2					
P2ry13	Tmem125	Coro1c	Gm5244					
Igsf10	Ermap	Gltp	Dntt					
P2ry1	Frg2f1	Git2	Gm35867					
Arhgef26	Foxo6	Ankrd13a	Gm14718					
E130311K13Rik	Kcnq4	1500011B03Rik	Pwwp3b					
Slc33a1	Zfp69	Oasl2	Cldn2					
Lekr1	Mfsd2a	2210016L21Rik	Gm15228					
Gm37305	Mycl	Sppl3						
Gfm1	Rhbdl2	Rpl37rt						
Lxn	Gm26606	Mlec						
Schip1	D130007C19Rik	Pop5						
Ift80	Gm12902	Rnf10						
Ppm1l	Rspo1	Dynll1						
B3galnt1	Rpl28-ps3	Srsf9						
Nmd3	Tekt2	Triap1						
Serpini1	Gm12934	Cox6a1						
Golim4	Gm12933	Pxn						
Fnip2	Gm12943	Rplp0						
Etfdh	Gjb3	Rab35						
Fam198b	Gjb5	Suds3						
Pdgfc	Zscan20	Taok3						
Gucy1b1	Tlr12	Pebp1						
Gucy1a1	1700086P04Rik	Wsb2						
Map9	Gm12976	Med13l						
Plrg1	Fam167b	Plbd2						
Tmem131l	Gm12967	Ddx54						
Trim2	Gm12966	Oas3						
Arfip1	Adgrb2	Ptpn11						
Tmem154	Serinc2	Rpl6						
Gatb	Gm12971	Trafd1						
Sh3d19	A930004J17Rik	Naa25						
Lrba	Gm13215	Erp29						
Mab21l2	Rps15a-ps4	Aldh2						
Cd1d1	Rnu11	Atxn2						
Kirrel	Rab42	Sh2b3						
Arhgef11	Gm17300	Ppp1cc						
Pear1	Gm13033	Vps29						
Prcc	Gm26615	Arpc3						
Rrnad1	Map3k6	P2rx7						
Isg20l2	Sytl1	P2rx4						
Nes	Tent5b	Anapc5						
Gpatch4	Sfn	Orai1						
Smg5	Crybg2	Setd1b						
Pmf1	Ubxn11	Psmd9						
Slc25a44	Extl1	Diablo						
Ubqln4	Aunip	Clip1						
Khdc4	Gm12990	Rsrc2						
Gon4l	Ifnlr1	Denr						
Msto1	Gm12989	Vps37b						
Rusc1	Gm24362	Arl6ip4						
Clk2	6030445D17Rik	Cdk2ap1						
Gba	Gm12987	Sbno1						
Thbs3	Wnt4	Kmt5a						
Efna1	Gm13012	Rilpl2						
Efna4	Cda	Tmed2						
Zbtb7b	Rpl38-ps1	Atp6v0a2						
Gm15417	Ubxn10	Ncor2						
Flad1	Gm16287	Ubc						
Pygo2	Klhdc7a	Ran						
Pmvk	Padi4	Mrps17						
Kcnn3	Crocc	Nipsnap2						
4632404H12Rik	Gm13056	Cct6a						
She	Epha2	Chchd2						
Atp8b2	Gm13075	Gusb						
Rab13	Gm29367	Tmem248						
Crtc2	Fhad1	Sbds						
Dennd4b	Tmem51os1	Ncf1						
Ints3	Kazn	Gtf2i						
Npr1	Anp32b-ps1	Lat2						
Snapin	Gm13121	Eif4h						
S100a16	Tnfrsf8	Bud23						
S100a8	Smarca5-ps	Bcl7b						
S100a9	Gm13226	Baz1b						
Tchh	Znf41-ps	Pom121						
Them4	Gm13241	Hip1						
Tdrkh	Zfp993	Ccl24						
Mrpl9	Gm26624	Por						
Snx27	Gm13135	Mdh2						
Pogz	Gm16503	Ywhag						
Selenbp1	Gm20707	Rasa4						
Rfx5	Rps19-ps3	Polr2j						
Pi4kb	Angptl7	Cux1						
Zfp687	Gm13203	Fis1						
Vps72	Gm13205	Znhit1						
Scnm1	Rpsa-ps12	Plod3						
Lysmd1	Ube4bos1	Ap1s1						
Sema6c	Gm13073	Trim56						
Mllt11	Gm37795	Srrt						
Prune1	Gpr157	Pop7						
Setdb1	Slc2a5	Gigyf1						
Ctsk	Car6	Gnb2						
Golph3l	Gm13094	Tsc22d4						
Adamtsl4	Gm13092	Cops6						
Tars2	Gm13091	Nxpe5						
Prpf3	Rps15a-ps3	Lamtor4						
Ciart	Zbtb48	Gpr146						
BC028528	Espn	Snx8						
Vps45	Chd5	Eif3b						
Otud7b	Nphp4	Lfng						
Mtmr11	Smim1	Ttyh3						
Sv2a	Gm13132	Gna12						
Bola1	Tnfrsf14	Tnrc18						
Hist2h2ac	Morn1	Actb						
Hist2h4	5830444B04Rik	Rnf216						
Polr3gl	Cfap74	Kdelr2						
Lix1l	Tmem52	Rac1						
Pex11b	Gm16023	Cyth3						
Pias3	1500002C15Rik	Ccz1						
Polr3c	Tmem240	Bri3						
Gpr89	Gm37090	Arpc1a						
Acp6	9430015G10Rik	Arpc1b						
Bcl9	Samd11	Pdap1						
Chd1l	1700109H08Rik	Bud31						
Fmo5	2510017J16Rik	Atp5j2						
Prkab2	4833413G10Rik	Rnf6						
Pde4dip	Gm43679	Usp12						
Phgdh	Rps4x-ps	Rpl21						
Zfp697	Wdr46-ps	Polr1d						
Wars2	Mterf1b	Pan3						
Wdr3	Gm43112	Pomp						
Gdap2	Gm43113	Ubl3						
Tent5c	Gm43111	Hmgb1						
Gm42869	Gm43623	Alox5ap						
Gm43462	Gm10484	Hsph1						
Ttf2	Gm43727	N4bp2l2						
Ptgfrn	Gm43728	Pds5b						
Igsf3	Cfap69	Samd9l						
Gm42937	Steap1	Bet1						
Gm42941	Gm15459	Pon2						
Slc22a15	Gm15730	Sem1						
Vangl1	Rundc3b	C1galt1						
Ngf	Gm42684	Ndufa4						
Gm42679	7330423F06Rik	Phf14						
Tspan2	Abcb4	Tmem106b						
Trim33	Gm7332	Tmem168						
Olfml3	Sema3d	Bmt2						
Dclre1b	Gm8925	2610001J05Rik						
Ap4b1	Gm42909	Mdfic						
Phtf1	Pclo	Tfec						
Magi3	Gm43489	Tes						
Lrig2	Sema3c	Capza2						
Gm43696	Gnat3	Lsm8						
4930509H03Rik	Ccdc146	Ing3						
Rhoc	Gm6543	Fam3c						
Mov10	Gm8539	Ndufa5						
Gm42659	Gm15421	Wasl						
St7l	Gm6560	Zfp800						
Ddx20	Gm43566	Arf5						
Inka2	Gm6745	Snd1						
Gm43848	Gm3724	Rbm28						
Gm43328	Gm43389	Hilpda						
Gm43329	Gm5575	Calu						
Gm5547	Atg9b	Atp6v1f						
Adora3	Gm10221	Irf5						
I830077J02Rik	Gm26648	Tnpo3						
Wdr77	Wdr86	Ahcyl2						
Rbm15	Gm25363	Ube2h						
Strip1	Gm42585	Mkln1						
4933431E20Rik	Gm20432	Chchd3						
Gstm5	Xrcc2	Exoc4						
Gstm2	Gm4865	Akr1b3						
Gstm1	En2	Cnot4						
Gstm4	Rnf32	1810058I24Rik						
Ampd2	C79130	Mtpn						
Amigo1	4632411P08Rik	Creb3l2						
Cyb561d1	Gm5129	Zc3hav1						
Atxn7l2	Garem2	Ubn2						
Tmem167b	Gm16288	Fmc1						
Wdr47	Drc1	Luc7l2						
Gpsm2	Otof	Hipk2						
Fam102b	Dpysl5	Tbxas1						
Prmt6	Gm19409	Parp12						
Rnpc3	Gm43808	Kdm7a						
S1pr1	5930420M18Rik	Mkrn1						
A930005H10Rik	Cgref1	Ndufb2						
Dph5	Abhd1	Braf						
Extl2	Gm42798	Mrps33						
Cdc14a	Krtcap3	Ssbp1						
Rtca	Gm43059	Zyx						
Dbt	Gm43810	Cul1						
Trmt13	Gm43811	Pdia4						
Sass6	Gm10463	Tmem176b						
Slc35a3	Gm43312	Tmem176a						
Agl	Gm43313	Malsu1						
Frrs1	Gm10461	Tra2a						
Palmd	Gm43692	Mpp6						
Snx7	Rpl35a-ps5	Cycs						
Ptbp2	Fgfr3	Hnrnpa2b1						
Rwdd3	Gm10059	Cbx3						
Tmem56	Nat8l	Snx10						
Alg14	Poln	Skap2						
A530020G20Rik	Zfyve28	Hibadh						
Abcd3	Gm15513	Tax1bp1						
Arhgap29	Gm42559	Creb5						
Fnbp1l	Gm43457	Znrf2						
Pde5a	Cpz	Gars						
Fabp2	Ccdc96	Lsm5						
Usp53	Ppp2r2c	Herc6						
Synpo2	Crmp1	Tigd2						
Mettl14	Msx1	Hpgds						
Arsj	Zbtb49	Tnip3						
Ank2	Gm42528	Gng12						
Gm43322	Gm16223	Serbp1						
Alpk1	Gm42553	Krcc1						
Ap1ar	Gm7854	Rmnd5a						
Enpep	Gm42551	Chmp3						
Elovl6	6030400A10Rik	Mrpl35						
Pla2g12a	Gm43022	Immt						
Cyp2u1	Gm15866	0610030E20Rik						
Sgms2	Gm42462	Vamp8						
Tbck	Gm43182	Mat2a						
Gstcd	Gm43181	Capg						
Ints12	Gm42555	Tgoln1						
Ppa2	Gm16014	Kcmf1						
Bdh2	Prom1	Tmsb10						
Manba	E430021H15Rik	Suclg1						
Emcn	Gm5865	Pole4						
Mttp	Fam184b	Hk2						
Trmt10a	1600023N17Rik	Aup1						
Adh1	Gm43201	Ino80b						
Metap1	Gm43200	Dctn1						
Tspan5	Gm43321	Mob1a						
Kyat3	Gm43178	Bola3						
Gm43445	Slc34a2	Tet3						
Clca3a1	Sel1l3	Dguok						
Odf2l	Gm45495	Tex261						
Znhit6	Gm40304	Zfp638						
Ccn1	Gm15975	Spr						
Ddah1	4932441J04Rik	Rab11fip5						
2410004B18Rik	Gm8121	Cct7						
Syde2	Gm42635	Dusp11						
Mcoln2	Gm42481	Snrpg						
Ssx2ip	Gm42480	Tia1						
Ctbs	Gm42482	Pcbp1						
Rpf1	Gm42479	Mxd1						
Adgrl2	Gm42478	Snrnp27						
Adgrl4	Gm42639	Anxa4						
Dnajb4	Gm42640	Aak1						
Nexn	Gm42484	Nfu1						
Gm43185	Gm37720	Gfpt1						
Miga1	Gm42483	Rab43						
Usp33	Gm42486	Isy1						
St6galnac3	Gm43237	Cnbp						
Rabggtb	Gm43753	Copg1						
Tyw3	Gm43721	Rab7						
Cryz	Gm15823	Rpn1						
Fpgt	Gm6044	Ruvbl1						
Ptger3	Gm3716	Sec61a1						
Gm42611	Gm20033	Iqsec1						
Lrrc40	C230096K16Rik	Lsm3						
AI838599	Gm43627	Slc6a6						
Tmem68	Gm43628	Ccdc174						
Penk	1110003F10Rik	Nr2c2						
Fam110b	Gm43289	Mrps25						
Ubxn2b	Gm43290	Suclg2						
Nsmaf	4930589O11Rik	Tmf1						
Car8	Gm40309	Arl6ip5						
Gdf6	Gm42727	Frmd4b						
2610301B20Rik	Gm42728	Foxp1						
Ndufaf6	C030017G13Rik	Eif4e3						
Trp53inp1	Gm42648	Rybp						
Ints8	Gm43769	Ppp4r2						
Dpy19l4	Gm43775	Itpr1						
Gem	Gm43323	Bhlhe40						
Tmem67	Gm43793	Arl8b						
Rbm12b2	Gm43343	Edem1						
Rbm12b1	Gm43795	Setd5						
Fam92a	C530043K16Rik	Brpf1						
Triqk	Gm6517	Camk1						
Runx1t1	Gm26756	Arpc4						
Pip4p2	Gm42632	Emc3						
Gm11837	Gm20072	Brk1						
Tmem64	Gm42735	Sec13						
Decr1	Gm42737	Vgll4						
Nbn	D630030B08Rik	Raf1						
Osgin2	Gm42466	Rpl32						
Ripk2	Gm43028	Tmcc1						
Mmp16	Gm42653	Washc2						
Rmdn1	Gm43815	Rassf4						
Ccnc	Nipal1	Hnrnpf						
Tstd3	Gm43499	Bms1						
Usp45	Gm9870	Adipor2						
Coq3	Gm42572	Fbxl14						
Fbxl4	Gm42571	Wnk1						
Manea	Gm42732	Kdm5a						
Map3k7	Gm43417	Il17ra						
Bach2	6720475M21Rik	Atp6v1e1						
Mdn1	Gm43167	Usp18						
4933421O10Rik	Gm43747	M6pr						
Rngtt	Gm6116	Apobec1						
Orc3	Apc-ps1	C3ar1						
Rars2	Ube2n-ps1	Clec4a1						
Slc35a1	Gm43658	Clec4a3						
Smim8	Gm7467	Clec4a2						
Mob3b	Spink2	Clec4n						
C9orf72	Rpl7-ps7	Cd163						
Aco1	Gm4866	Emg1						
Smim27	Epha5	Phb2						
Aptx	Sult1e1	Ptpn6						
Aqp7	Gm15682	Tpi1						
Aqp3	Adamts3	Ptms						
Nol6	Gm9958	Mlf2						
Ubap2	Afp	Chd4						
Ubap1	Ppbp	Gapdh						
Nudt2	Ereg	Mrpl51						
AI464131	Gm43039	Tapbpl						
Fam219a	Thap6	Ltbr						
Enho	Gm26582	Tnfrsf1a						
Cntfr	Gm15710	Ndufa9						
Il11ra1	Ppef2	Ccnd2						
Sigmar1	Ccdc158	Fkbp4						
Galt	Shroom3	Clec2d						
Ccl27a	Gm43682	Clec12a						
Gm17167	Gm43681	Clec7a						
Ccl21a	2010109A12Rik	Gabarapl1						
Dnajb5	Cxcl13	Magohb						
Fancg	Fras1	Ybx3						
Pigo	Gm42603	Smim10l1						
Fam214b	Gm33370	Etv6						
Gm26881	Gm43147	Lrp6						
Rusc2	Gm8013	Cdkn1b						
Tesk1	Gm43148	Ddx47						
Cd72	Gm9484	Emp1						
Tpm2	Gm43145	Atf7ip						
Gba2	C430019N01Rik	Plbd1						
Rgp1	Gm42759	H2afj						
Npr2	Prdm8	Wbp11						
Tmem8b	Fgf5	Arhgdib						
Hrct1	Mir703	Ptpro						
Reck	Bmp3	Eps8						
Gne	Prkg2	Strap						
Rnf38	Gm17092	Mgst1						
Grhpr	4930524J08Rik	Aebp2						
Zbtb5	Gm42690	Cmas						
Polr1e	Gm43511	Etnk1						
Fbxo10	Gm43513	Kras						
Trmt10b	Gm43514	Fgfr1op2						
Dcaf10	Gm42987	Tm7sf3						
Shb	Gm43787	Med21						
Ccdc180	Gm43545	Ergic2						
Tdrd7	Gm42793	Resf1						
Tmod1	Zfp951	Myadm						
Tstd2	Gbp10	Tarm1						
Ncbp1	Gbp11	Ndufa3						
Trim14	Gm32051	Prpf31						
Col15a1	Gm42141	Cnot3						
Tgfbr1	C230066G23Rik	Tsen34						
Gm12430	Rps15a-ps5	Rps9						
Alg2	Gm43817	Pirb						
Nr4a3	Gm28050	Lair1						
Stx17	Gm43421	Leng8						
Invs	Gm43423	Lilra5						
Tex10	Gm42900	Ppp1r12c						
Msantd3	Gm9727	Ppp6r1						
Mrpl50	Gfi1	Rpl28						
Zfp189	Gm43593	Ube2s						
Tmem246	Fam69a	U2af2						
Fsd1l	Rps19-ps8	Epn1						
Fktn	Gm43081	Clcn4						
Tmem38b	Gm10086	Rps5						
Zfp462	1010001B22Rik	Trim28						
Elp1	Gm17655	Chmp2a						
Ptpn3	Gm35315	Ube2m						
Akap2	Gm15787	Selenow						
Svep1	Gm43137	Nop53						
Musk	Gm42595	Napa						
Gm12577	Gm15559	C5ar1						
Ptgr1	Gm42778	Sae1						
Dnajc25	Gm43677	Tmem160						
Gng10	Cryba4	Ap2s1						
Susd1	Crybb1	Slc1a5						
Hsdl2	Asphd2	Strn4						
E130308A19Rik	F830115B05Rik	Calm3						
Inip	Sgsm1	Snrpd2						
Snx30	Gm3511	Vasp						
Zfp37	Gm43336	Fosb						
Prpf4	Dao	Trappc6a						
Hdhd3	Gm42913	Gemin7						
Alad	Myo1h	Clptm1						
Pole3	Fam222a	Apoe						
Rgs3	4930519G04Rik	Tomm40						
Zfp618	C730045M19Rik	Bcl3						
Col27a1	Gm13827	Plaur						
Tmem268	Gm13830	Ethe1						
Tnc	Gm24407	Rps19						
Trim32	Gm13840	Arhgef1						
Cdk5rap2	1110006O24Rik	Rabac1						
Tle1	Bicdl1	Pou2f2						
C630043F03Rik	Gm14508	Gsk3a						
Kdm4c	Gm43637	Cic						
Lurap1l	Gm42546	Exosc5						
Mpdz	Gm10399	B9d2						
Nfib	Gm15728	Tgfb1						
Snapc3	Ksr2	Hnrnpul1						
Ccdc171	Nos1	Axl						
Cntln	Gm43788	Snrpa						
Haus6	Gm43275	Blvrb						
Dennd4c	Gm43274	Sertad1						
Mllt3	Gm43052	Pld3						
Focad	Gm43051	Akt2						
Mtap	Sdsl	Psmc4						
Tusc1	2510016D11Rik	Fbl						
Caap1	Iqcd	Supt5						
Ift74	Oas1c	Rps16						
Tek	Oas1b	Zfp36						
Nfia	Oas1g	Med29						
Atg4c	Rph3a	Samd4b						
Alg6	Gm42930	Gmfg						
Itgb3bp	Gm42918	Mrps12						
Ror1	Gm43420	Sirt2						
Cachd1	Mapkapk5	Hnrnpl						
Raver2	Acad10	Ech1						
E130102H24Rik	Gm43571	Actn4						
Ak4	Gm42866	Eif3k						
Lepr	4933437G19Rik	Map4k1						
Sgip1	Myl2	Psmd8						
Slc35d1	Ccdc63	Yif1b						
