genes	geneCluster
Gpatch2	0
Kctd3	0
Ptpn14	0
Smyd2	0
Prox1	0
Rps6kc1	0
Tatdn3	0
Nsl1	0
D730003I15Rik	0
Nenf	0
Tmem206	0
Ints7	0
Gm37349	0
Traf5	0
Gstp-ps	0
Rcor3	0
Sertad4	0
Gm15867	0
Diexf	0
A130010J15Rik	0
Hsd11b1	0
Plxna2	0
Cd34	0
A330023F24Rik	0
Fam171a1	0
Nmt2	0
Rpp38	0
Dclre1c	0
Gm45902	0
Bend7	0
Sephs1	0
Optn	0
Nudt5	0
Sec61a2	0
Echdc3	0
Usp6nl	0
Gm10115	0
Taf3	0
Kin	0
Sfmbt2	0
Pfkfb3	0
Il15ra	0
Fbh1	0
Ankrd16	0
Itga8	0
Pter	0
Trdmt1	0
St8sia6	0
Hacd1	0
Stam	0
Cacnb2	0
Gm13268	0
Nsun6	0
Arl5b	0
Bmi1	0
Armc3	0
Msrb2	0
Otud1	0
Etl4	0
Arhgap21	0
Enkur	0
Thnsl1	0
Gm13341	0
Gm13340	0
Pdss1	0
Spopl	0
Hnmt	0
Psd4	0
Ehmt1	0
Arrdc1	0
Zmynd19	0
Dph7	0
Pnpla7	0
Nsmf	0
Nrarp	0
Tor4a	0
Nelfb	0
Ndor1	0
Tmem203	0
Tprn	0
Anapc2	0
Man1b1	0
Dpp7	0
Uap1l1	0
Npdc1	0
Abca2	0
Paxx	0
Fbxw5	0
Traf2	0
Tmem141	0
Fcna	0
Camsap1	0
Ubac1	0
Nacc2	0
Tmem250-ps	0
Qsox2	0
Gpsm1	0
Dnlz	0
Card9	0
Snapc4	0
Entr1	0
Pmpca	0
Inpp5e	0
Sec16a	0
Egfl7	0
Agpat2	0
Fam69b	0
Surf6	0
Med22	0
Surf1	0
Surf2	0
Rexo4	0
Cacfd1	0
Slc2a6	0
Vav2	0
Brd3os	0
Wdr5	0
Rxra	0
Col5a1	0
Mrps2	0
Gtf3c5	0
Tsc1	0
Gtf3c4	0
Ddx31	0
Ttf1	0
6530402F18Rik	0
Med27	0
Rapgef1	0
