gene	cluster
Ap1s3	13
Wdfy1	4
Mrpl44	0
Serpine2	8
Cul3	1
Gm37902	2
Gm37262	5
Dock10	13
Gm37645	5
Gm38062	3
A630081D01Rik	3
Irs1	9
Rhbdd1	0
Gm19552	7
Col4a4	12
Col4a3	11
C430014B12Rik	5
Mff	1
Gm28941	7
Tm4sf20	7
Agfg1	1
Pid1	8
Gm37058	2
Dner	8
Trip12	1
Gm38374	3
Gm37738	2
Fbxo36	3
C130026I21Rik	4
A530032D15Rik	3
A530040E14Rik	3
Gm7609	9
Sp110	6
Gm16094	5
Sp140	6
Sp100	6
A630001G21Rik	15
Cab39	1
Itm2c	6
Gpr55	5
Psmd1	1
Htr2b	10
Gm37914	5
Armc9	3
B3gnt7	4
Gm28626	14
Ncl	6
C130036L24Rik	2
Ptma	19
Pde6d	0
Cops7b	0
Dis3l2	0
Gm29055	2
Gm37485	5
Gm38142	2
Gm38010	2
Gm38021	3
Gm6136	5
Gm37967	2
Gm37017	2
Gm37447	3
Alpi	7
Akp3	17
Eif4e2	1
Efhd1	12
Gigyf2	1
Inpp5d	1
Atg16l1	0
Sag	3
Dgkd	1
4833421G17Rik	3
Gm38365	3
Usp40	0
Ugt1a7c	5
Ugt1a6a	14
Gm15368	17
Gm15376	5
Dnajb3	5
Mroh2a	14
Hjurp	4
Gm29336	5
Arl4c	6
Sh3bp4	9
Agap1	8
Gm37297	3
Gm28499	5
Gm37521	2
Ackr3	10
Cops8	4
Col6a3	8
Mlph	12
Rab17	11
Lrrfip1	1
Gm7776	3
Ramp1	8
Ube2f	1
Scly	0
Klhl30	2
Ilkap	1
Hes6	0
Per2	3
Traf3ip1	3
Asb1	3
Twist2	2
Hdac4	4
Gm26720	2
Ndufa10	1
Cops9	6
Otos	5
Gpc1	8
Ankmy1	9
Dusp28	3
5033417F24Rik	2
Rnpepl1	1
9430060I03Rik	2
Capn10	3
Gpr35	6
Kif1a	0
Sned1	10
Mterf4	3
Pask	16
Ppp1r7	4
Hdlbp	6
Gm17415	5
Sept2	0
Farp2	3
Stk25	0
Bok	10
Thap4	0
Atg4b	0
Dtymk	4
Ing5	4
D2hgdh	3
Pdcd1	13
Fam174a	1
BC055308	3
Gm15427	3
St8sia4	1
Gm37642	3
D1Ertd622e	4
Ppip5k2	4
Gin1	0
Pam	8
Gm37140	3
Gm3531	5
B230216N24Rik	3
1810006J02Rik	2
Gm28187	5
Rnf152	2
Gm3608	3
Pign	0
Gm28404	5
Gm20302	5
Relch	1
Gm37566	3
Tnfrsf11a	15
Gm7160	3
Zcchc2	1
Phlpp1	10
Gm38235	2
Bcl2	1
Kdsr	0
Vps4b	1
Serpinb5	14
Serpinb2	3
Serpinb10	3
Serpinb8	15
Cdh19	12
Gm38255	12
Gm36944	12
Dsel	0
Tsn	1
Nifk	4
Clasp1	4
2900060B14Rik	4
Tfcp2l1	14
Gli2	11
Inhbb	2
Ralb	1
Tmem185b	4
Epb41l5	9
Gm37219	2
Ptpn4	0
Gm37745	5
Tmem177	3
Sctr	7
Tmem37	15
Dbi	6
3110009E18Rik	0
Steap3	0
Insig2	4
Gm37174	2
Ccdc93	0
Ddx18	1
Actr3	6
Slc35f5	0
Gpr39	11
Nckap5	14
Mgat5	0
Gm37510	3
Gm8451	3
Tmem163	5
2900009J06Rik	2
Ccnt2	1
Rab3gap1	1
Zranb3	16
Gm38248	2
Rpl28-ps1	3
R3hdm1	1
Gm37588	5
Gm37868	5
Gm37407	3
Ubxn4	1
Lct	5
Mcm6	16
Dars	4
Gm6170	5
Cxcr4	4
Gm15675	2
Cd55	11
Gm37109	2
Pfkfb2	3
Yod1	0
AA986860	2
Pigr	7
Il19	17
Il10	18
Mapkapk2	1
Gm37084	15
Dyrk3	14
Eif2d	0
Rassf5	13
Ikbke	4
Srgap2	1
Gm38262	2
Gm37954	3
Gm29488	3
Fam72a	3
Ctse	4
Rab7b	15
Pm20d1	7
Slc41a1	0
Rab29	0
Nucks1	6
Gm38067	2
Slc45a3	10
Elk4	1
Mfsd4a	9
Cdk18	9
Nuak2	4
Tmcc2	0
Dstyk	4
6030442K20Rik	2
Rbbp5	0
Tmem81	2
Nfasc	7
Lrrn2	12
Mdm4	1
Gm29257	3
Pik3c2b	10
Gm26616	5
Ppp1r15b	1
Plekha6	8
Sox13	10
Snrpe	6
Zc3h11a	3
Gm38394	3
Lax1	13
Atp2b4	1
Gm37368	3
Optc	3
Prelp	8
Fmod	11
Btg2	6
Gm38140	2
Gm8618	2
Chil1	4
Adora1	9
Ppfia4	15
Tmem183a	4
Cyb5r1	0
Adipor1	1
Klhl12	9
Rabif	0
Kdm5b	4
Ppp1r12b	8
Gm37949	9
Gm37677	3
Ube2t	16
Ptprv	11
Ptpn7	13
Arl8a	1
Gm15445	3
Gpr37l1	12
Gm4204	3
Elf3	7
Rnpep	1
Timm17a	1
Lmod1	3
Shisa4	12
Ipo9	15
Nav1	1
2610012C04Rik	3
Gm37333	3
Gm38399	3
Csrp1	8
Phlda3	8
Lad1	7
Tnnt2	2
Tmem9	0
Cacna1s	5
Kif21b	13
Inava	12
Camsap2	0
9230116N13Rik	3
Ddx59	3
Kif14	16
Zfp281	1
Gm19705	3
Gm4258	0
Gm37298	3
Gm37124	2
A130050O07Rik	2
Gm26930	3
D130019J16Rik	3
Gm37534	2
A430106G13Rik	5
Ptprc	6
A130071D04Rik	3
Nek7	1
Gm37080	2
Gm37101	3
2310009B15Rik	4
Gm37045	5
Dennd1b	1
Gm37423	3
Gm37470	3
Gm43544	5
Gm37718	3
Zbtb41	0
Aspm	16
Gm16332	14
Gm5837	5
Gm5834	2
Gm38266	2
Gm38019	2
Cfh	15
Kcnt2	11
Gm5835	5
Cdc73	1
B3galt2	2
Glrx2	1
Trove2	8
Uchl5	4
Gm29170	3
Rgs2	1
Rgs1	13
Gm7266	5
Rgs18	15
A230059L01Rik	17
Gm15443	5
Pla2g4a	4
Ptgs2os	2
Ptgs2	6
Ptgs2os2	5
Odr4	1
Tpr	6
Prg4	2
Hmcn1	12
Gm10138	3
Ivns1abp	1
Swt1	4
Trmt1l	4
Gm37893	3
Rnf2	4
Gm36527	7
Fam129a	1
2810414N06Rik	5
Edem3	0
1700025G04Rik	4
Tsen15	0
Colgalt2	9
Rgl1	6
Arpc5	6
Ncf2	6
Smg7	4
Gm28791	0
Nmnat2	17
Lamc2	11
Lamc1	8
Gm38009	9
Gm8818	3
E330020D12Rik	3
Shcbp1l	5
Dhx9	1
Npl	15
Rgs16	10
Rnasel	6
Rgsl1	5
Teddm2	2
Glul	15
Gm29291	2
Cacna1e	7
Gm9530	5
Ier5	6
Mr1	0
Stx6	4
BC034090	2
Xpr1	1
Acbd6	4
Qsox1	0
Cep350	1
Gm37383	5
Tor1aip1	6
9430034N14Rik	3
Tor1aip2	1
Gm2000	4
Soat1	1
Gm10031	3
Abl2	0
Gm38043	3
Tor3a	6
Fam20b	4
Ralgps2	15
Gm28693	3
Angptl1	7
Gm37802	2
Gm37943	3
Rasal2	10
Gm37788	10
Gm37060	3
2810025M15Rik	4
Cryzl2	0
Sec16b	2
Brinp2	12
Astn1	12
Cop1	1
Gm37115	2
4930523C07Rik	4
Mrps14	1
Cacybp	1
4933417C20Rik	2
Rabgap1l	1
9430087J23Rik	7
Gm37529	3
Gm37212	7
Gm37215	3
Gm38302	5
6720464F23Rik	3
Gm38329	5
Gm38126	3
Rc3h1	1
Gm37052	2
Gm37809	5
Gm37653	5
Serpinc1	2
Zbtb37	0
Gas5	6
Dars2	3
Cenpl	16
Klhl20	0
Prdx6	1
Fasl	13
Suco	4
Pigc	0
Dnm3	8
Dnm3os	9
Mettl13	3
Vamp4	18
Prrc2c	6
Fmo1	10
Fmo2	8
Prrx1	9
Gorab	0
Rpsa-ps1	5
Kifap3	0
Scyl3	0
BC055324	16
Mettl18	3
Sell	6
Selp	10
F5	3
Slc19a2	3
Ccdc181	3
Blzf1	0
Nme7	0
Atp1b1	7
Dpt	8
Xcl1	13
Sft2d2	1
Tiprl	1
Gm38190	3
Gpr161	2
Dcaf6	0
Mpc2	1
Gm37860	2
Mpzl1	8
Rcsd1	4
Creg1	6
Gm16565	2
Cd247	13
Pou2f1	0
Gpa33	7
Ildr2	11
Gm15853	5
Tada1	0
Pogk	0
Gm16701.1	2
Fam78b	12
Uck2	4
Tmco1	6
Aldh9a1	4
Mgst3	7
Rxrg	12
Pbx1	8
Gm37524	9
Gm38381	9
Nuf2	16
Rgs5	8
Rgs4	9
Hsd17b7	0
Ddr2	8
Uap1	4
Uhmk1	4
Gm6345	2
Sh2d1b1	13
Gm7694	11
Nos1ap	11
Gm7299	5
Olfml2b	8
Atf6	1
Dusp12	0
Gm26620	5
Fcrlb	3
Fcrla	4
Gm2962	5
Fcgr2b	6
Gm10522	5
Fcgr4	6
Fcgr3	6
Cfap126	2
Sdhc	1
Mpz	2
Pcp4l1	7
Nr1i3	2
Tomm40l	0
Fcer1g	6
Ndufs2	1
Adamts4	9
B4galt3	4
Ppox	0
Usp21	0
Ufc1	1
Gm20045	3
Dedd	0
Nit1	4
Pfdn2	1
Gm37154	17
Nectin4	3
Arhgap30	6
Usf1	4
Tstd1	7
F11r	10
B930036N10Rik	4
Alyref2	0
Itln1	5
Cd244a	4
Ly9	13
Slamf7	4
A630035G10Rik	2
Cd48	13
Gm37010	3
Slamf1	13
Cd84	6
Gm10521	5
Gm37065	5
Slamf6	4
Vangl2	3
Ncstn	4
Copa	1
Gm38164	5
Gm37756	5
Pex19	0
Dcaf8	1
Pea15a	15
Igsf8	15
Atp1a2	8
Kcnj10	12
Pigm	0
Slamf9	15
Igsf9	11
Tagln2	6
Gm37125	2
Cfap45	14
4933439K11Rik	2
Slamf8	1
Fcrl6	13
Dusp23	0
Cadm3	12
Aim2	4
Ifi206	18
Ifi214	4
Ifi213	18
Ifi209	6
Ifi208	4
Ifi207	6
Ifi204	6
Ifi203-ps	10
Mndal	6
Ifi211	6
Ifi203	6
Ifi202b	6
Gm18445	5
Ifi205	6
Olfr433	5
Grem2	7
Fh1	1
Kmo	4
Opn3	3
Chml	0
Exo1	16
Rbm8a2	5
Cep170	1
3110062G12Rik	2
Gm38104	3
Sdccag8	0
Gm37246	5
Gm37490	3
Gm37519	3
Akt3	0
Gm37960	5
Gm37106	2
Gm37598	3
Gm38146	5
Gm37706	3
Zbtb18	4
Adss	1
Gm16585	2
Catspere2	7
Desi2	4
Gm37486	5
B230369F24Rik	2
Cox20	1
Hnrnpu	6
Gm38300	17
Efcab2	3
Kif26b	2
Smyd3	3
Gm5561	3
Tfb2m	0
Cnst	0
Sccpdh	0
Ahctf1	4
Gm37070	5
Cdc42bpa	8
Coq8a	11
Psen2	4
Gm5069	2
Itpkb	1
Gm37033	1
Gm37390	0
Gm36933	3
Stum	7
Parp1	4
Lin9	16
Gm8101	5
Acbd3	1
H3f3a	6
Gm17275	3
H3f3aos	2
Sde2	1
Pycr2	0
Lefty1	0
Tmem63a	0
Ephx1	8
Nvl	4
Cnih4	6
Wdr26	6
A430110L20Rik	7
Lbr	1
Enah	0
2700078F05Rik	7
Gm38359	2
Gm37018	7
Gm37258	2
Srp9	6
Degs1	1
1700047M11Rik	12
Fbxo28	4
Trp53bp2	0
Capn2	1
Susd4	7
Tlr5	3
Gm38079	3
Disp1	9
BC085271	2
Brox	4
Aida	1
Mia3	1
Taf1a	3
Gm37214	3
Gm33973	5
Dusp10	0
1700056E22Rik	3
Gm37800	5
Rpl21-ps1	2
Gm38358	5
Hlx	1
Gm34342	2
Marc2	1
C130074G19Rik	10
Mark1	9
Rab3gap2	4
Iars2	4
Bpnt1	0
4930532G15Rik	5
Eprs	1
Slc30a10	17
Lyplal1	2
Tgfb2	8
Rrp15	4
A430105J06Rik	2
Gpatch2	0
Gm37254	0
Kctd3	0
Pdcd5-ps	5
Cenpf	16
Ptpn14	11
Smyd2	0
Prox1	10
Rps6kc1	0
Angel2	1
Flvcr1	4
Tatdn3	0
Nsl1	18
Batf3	6
Atf3	6
D730003I15Rik	0
Gm37168	5
Nenf	8
Tmem206	3
Ppp2r5a	1
Dtl	16
Ints7	0
Gm37349	3
Lpgat1	1
Nek2	16
1700034H15Rik	5
Slc30a1	6
Gm26670	2
Traf5	0
Gstp-ps	0
Gm26879	2
Rcor3	0
Hhat	3
Gm22265	3
Sertad4	9
Gm15867	9
Syt14	14
Diexf	3
Irf6	14
A130010J15Rik	3
Traf3ip3	13
4930570N18Rik	5
Lamb3	13
Hsd11b1	9
Gm38118	5
G0s2	1
Gm37691	5
Plxna2	10
Cd34	8
A330023F24Rik	3
Gm37334	3
