genes	geneCluster
Snhg15	1
Rasgrp2	1
Hs3st3b1	1
Maff	1
Kcnn4	1
E230032D23Rik	1
B3gnt7	1
Pde4d	1
Mirt1	1
Spp1	2
Ccl3	2
Slc7a2	2
Inhba	2
Il1a	2
Ednrb	2
Rgs1	2
Slc7a11	2
Mrpl27	2
Csf1	2
Il6	2
Tnip3	2
Hbegf	2
Mmp9	2
Cd24a	2
Hdc	2
Cxcr2	2
Vcam1	2
Clec4e	2
Hcar2	2
Phlda1	2
Hadh	2
Serpina3g	2
Upp1	2
Ighm	2
Il1r2	2
Ddit4	2
Sgk1	2
Fpr2	2
Mcemp1	2
Gpr183	2
Ecm1	2
Traf1	2
Socs2	2
Errfi1	2
Hist1h4i	2
Pou2f2	2
Plxdc2	2
Dgat1	2
Vegfa	2
Mmp19	2
Tmem123	2
Ass1	2
Egr2	2
Cnp	2
Gsto1	2
Itgax	2
Itgb7	2
Clec4d	2
Cxcr4	2
Vat1	2
E230029C05Rik	2
F630028O10Rik	2
Arg2	2
Dnajb1	2
Trem1	2
Lpar6	2
Dusp5	2
Sowahc	2
Pmaip1	2
Csf3r	2
Nabp1	2
Gclm	2
Cd72	2
Cited2	2
Ero1l	2
Clec5a	2
Nr4a1	2
Cd300ld	2
Fdps	2
Kcnq1ot1	2
Nlrp3	2
Bst1	2
Lyst	2
H2-Q10	2
Cbfa2t3	2
Axl	2
Gm26532	2
Lmnb1	2
Ms4a8a	2
Bnip3	2
Hmgcs1	2
Vps37b	2
Clec12a	2
Nfkbid	2
Gm6377	2
Cyp51	2
Acp5	2
Pcna	2
Etv3	2
Me2	2
Txndc5	2
Cd37	2
Hyou1	2
Tlr2	2
Entpd1	2
St8sia4	2
Ldlr	2
Dusp6	2
Idh1	2
Tmpo	2
Relb	2
Havcr2	2
Tnfaip3	2
Cpeb2	2
Gcnt2	2
Hsph1	2
Ptger4	2
Lfng	2
Lztfl1	2
Plk3	2
Acsl5	2
Runx3	2
Coro2a	2
Arrdc3	2
Dennd4a	2
Cdk6	2
Csrnp1	2
Slc4a7	2
Rab7b	2
Ppp1r15a	2
Ncoa7	2
St3gal4	2
Fchsd2	2
Alas1	2
Cass4	2
Creb5	2
Il1rap	2
Pygl	2
Nucb2	2
Cd33	2
Atxn1	2
Cpd	2
Ifih1	2
Neurl3	2
Siglece	2
Golga3	2
Galk1	2
Acaa2	2
Ogt	2
Ell2	2
Bcl2l11	2
Akap7	2
Sfxn1	2
Sdad1	2
Peli1	2
Gm21188	2
Pik3ap1	2
Arrdc4	2
Slc39a14	2
March7	2
Pfkfb3	2
Smox	2
Tma16	2
Rnf149	2
Camkk2	2
Fam107b	2
Lifr	2
Saa3	3
Sparc	3
Col3a1	3
Slpi	3
Igfbp7	3
Col4a1	3
Timp1	3
Sparcl1	3
Dcn	3
Mgp	3
Stmn1	3
Hspb1	3
Col1a1	3
Lcn2	3
Tpm1	3
Prnp	3
Timp3	3
Cald1	3
Serpinh1	3
Mt2	3
Col4a2	3
Gsn	3
Rarres2	3
Col5a2	3
Chil1	3
Fbln2	3
Bgn	3
Tm4sf1	3
Col6a1	3
Col6a2	3
Serping1	3
Col1a2	3
Hes1	3
C3	3
Nfib	3
Gm12840	3
Cd63	3
Clu	3
Id3	3
Tshz2	3
Nedd4	3
Aebp1	3
Cd200	3
C4b	3
Cavin1	3
Nid1	3
Ogn	3
Csrp2	3
Fstl1	3
C1s1	3
Ccdc80	3
Cavin3	3
Gpx3	3
Prss23	3
Igfbp6	3
Cdh11	3
Nupr1	3
Mgst1	3
Igfbp4	3
Crip2	3
Rbp1	3
Gm49708	3
Fermt2	3
S100a16	3
Lamb1	3
Selenom	3
Pcolce	3
Cp	3
Tceal9	3
Arhgap29	3
Gas1	3
Ppic	3
Pmepa1	3
Rcn3	3
Itm2a	3
Gas6	3
Tsc22d1	3
Csrp1	3
Pdpn	3
Bicc1	3
Akap12	3
Zbtb20	3
Cd9	3
Rhoc	3
Actn1	3
Snhg18	3
Ptgis	3
Alcam	3
Rbpms	3
Hspg2	3
Egr1	3
Cnn3	3
Anxa1	3
Dstn	3
Emp1	3
Plod2	3
Loxl1	3
Cebpd	3
Itga1	3
Pmp22	3
Col14a1	3
Serpinb6a	3
Ezr	3
Tmem176a	3
Heg1	3
Vcl	3
Nfia	3
Dag1	3
Hist1h2bc	3
Lmna	3
C1ra	3
Slc9a3r1	3
Colec12	3
Timp2	3
Lima1	3
Mmp14	3
Lama4	3
Cd81	3
Cyb5a	3
Maged1	3
Pam	3
Dst	3
Ckap4	3
Tuba1a	3
Tmem176b	3
Cd151	3
Tcf4	3
Sptbn1	3
Il6st	3
Tspan3	3
Flna	3
Cd2ap	3
Lrp1	3
Cfl2	3
Arhgef12	3
Gabarapl1	3
Nfix	3
Gng12	3
Cbx5	3
Plec	3
Klf9	3
Tns1	3
Hmgn1	3
Vkorc1	3
Cyb5r3	3
Arhgap5	3
Oat	3
