id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Slamf9	0	1.2633363003046	0.688	0.175	0
Cd72	0	1.27166326939506	0.651	0.177	0
C1qb	0	1.89063929073879	0.973	0.516	0
C1qc	0	1.80470500606955	0.975	0.481	0
C1qa	0	1.9598298914173	0.967	0.475	0
Lilra5	0	1.04304441454782	0.534	0.109	0
Apoe	0	1.92177122842491	0.981	0.758	0
Ctsc	0	1.28797482333026	0.999	0.708	0
Cx3cr1	0	1.79347981494683	0.847	0.251	0
Cd300c2	0	1.443631540975	0.836	0.289	0
Ly86	0	1.2407320293204	0.984	0.547	0
H2-DMb1	0	1.25982564541843	0.944	0.46	0
H2-Ab1	0	2.04587984421028	0.994	0.633	0
H2-Aa	0	2.09018602348055	0.996	0.655	0
H2-Eb1	0	2.36667943092112	0.991	0.64	0
Cd74	0	2.01507827182738	0.999	0.803	0
Ms4a7	2.99399396288561e-307	1.50542637842586	0.775	0.273	6.36642876267996e-303
Lair1	2.48630824112018e-298	1.11382337262359	0.878	0.401	5.28688584391795e-294
Unc93b1	3.18878734412743e-291	1.11459862901738	0.97	0.638	6.78063740855258e-287
Csf1r	1.04843430971441e-286	1.12205043181168	0.993	0.613	2.22939071617671e-282
Cxcl16	3.02961682842851e-286	1.28161038579237	0.924	0.556	6.44217722397038e-282
Cybb	3.8083303778108e-283	1.09735910042216	0.961	0.498	8.09803371537689e-279
Fyb	5.60402105586047e-281	1.18828788880325	0.951	0.561	1.19163903731817e-276
Ctsh	1.60677295656767e-275	1.06605890890992	0.98	0.698	3.4166420148455e-271
C3ar1	2.57300455649535e-270	1.12555096133947	0.9	0.421	5.47123688893172e-266
Aif1	2.3331447544675e-263	1.14289216127547	0.98	0.548	4.96119900589969e-259
H2-DMa	4.3093766541102e-260	1.02564463909479	0.965	0.562	9.16345851729993e-256
Clec4a2	3.10923743277086e-258	0.99611896933365	0.826	0.36	6.61148247704397e-254
Gpr65	1.74534201313919e-256	1.29053589429488	0.85	0.421	3.71129525673917e-252
Adgre1	7.45299519875429e-255	1.11105763226699	0.813	0.358	1.58480489906311e-250
Pld4	1.78939011289596e-244	0.957960828358378	0.91	0.47	3.80495913606197e-240
Mpeg1	1.8728597163916e-236	1.040191815095	0.931	0.508	3.9824489009351e-232
Pou2f2	1.38577817537624e-231	1.11727573638443	0.745	0.314	2.94671871212004e-227
Cd83	5.5901193210732e-230	1.78918756503812	0.755	0.354	1.18868297243301e-225
Lst1	3.2101483042488e-228	1.04332819183237	0.942	0.526	6.82605935415464e-224
Rgs10	1.84484807587525e-226	0.735579983561346	0.904	0.585	3.92288494854113e-222
Mgl2	9.34345160750202e-223	1.21899919239596	0.847	0.394	1.98679154981923e-218
Bcl2a1b	4.2629901148155e-219	1.18554068521032	0.891	0.469	9.06482218014368e-215
Cd14	1.45038813752679e-218	1.54051780941865	0.913	0.573	3.08410533563696e-214
Lyz2	8.95617999537468e-215	1.00560734426542	0.99	0.654	1.90444211421647e-210
Itm2b	1.63545288526533e-213	0.898255183713484	0.999	0.984	3.4776270152282e-209
Selenop	6.14977235731445e-211	1.14432366634113	0.964	0.778	1.30768759405935e-206
Cst3	2.30133386628057e-207	0.758737403323662	1	0.97	4.893556333259e-203
Fcrls	2.50798149356894e-202	0.907321582685016	0.625	0.208	5.332971847925e-198
Marcks	2.38305198708642e-200	0.936002245610107	0.993	0.762	5.06732174534055e-196
Lpcat2	2.34252693772251e-199	0.809945244318076	0.61	0.237	4.98114928037314e-195
Fcer1g	1.29909068333451e-197	0.929674405276139	1	0.667	2.7623864290425e-193
Ctss	2.04675402400862e-196	1.03038319527793	0.998	0.638	4.35221775665192e-192
C5ar1	3.52557264329664e-196	1.00721161547188	0.826	0.397	7.49677766870598e-192
Hpgds	1.23051000579266e-194	0.781411777313761	0.543	0.172	2.61655647631752e-190
Ftl1	5.04465675145979e-194	0.776702702727316	1	0.996	1.07269581163041e-189
Tmsb4x	2.26810224281037e-193	0.604393057038624	1	0.998	4.82289260911197e-189
Hexb	7.27505229113364e-191	1.0495050450008	0.813	0.516	1.54696711918666e-186
Clec4b1	9.81373317076954e-190	0.750433026100278	0.368	0.087	2.08679222143243e-185
Slco2b1	1.11120523889029e-182	0.785985860370711	0.514	0.164	2.36286681997631e-178
Mef2c	4.88390353190132e-182	1.17604529978354	0.819	0.519	1.0385132470235e-177
Pf4	6.76999272036946e-182	0.868259091097662	0.796	0.36	1.43957125205936e-177
Ccrl2	1.11488651547241e-178	1.28634326291881	0.726	0.375	2.37069468650053e-174
Clec12a	2.58019561821176e-178	0.898719213153352	0.572	0.219	5.48652796256549e-174
Rps29	3.75898467106743e-177	0.547942731127987	1	0.999	7.99310500455779e-173
P2ry6	5.87805349406284e-177	0.780338180543272	0.782	0.391	1.24990929497752e-172
Slc15a3	3.58743537543107e-176	0.946890413517628	0.894	0.52	7.62832258231662e-172
Ccl12	4.86541697663052e-174	1.52934969318989	0.708	0.328	1.03458226591071e-169
Stab1	2.67394197910886e-173	0.721570547403555	0.72	0.297	5.68587022437707e-169
Tm6sf1	3.84945887011205e-171	0.822178723283087	0.788	0.434	8.18548934140627e-167
Ighm	1.30123802962563e-169	0.558536989737078	0.687	0.319	2.76695254619594e-165
Evi2a	9.3116938413941e-168	0.805061781223562	0.753	0.392	1.98003857843404e-163
Lrrc25	5.63479994899295e-167	0.756616781326749	0.784	0.412	1.19818386115386e-162
Gpr34	9.74603125039002e-167	0.724720387471318	0.486	0.156	2.07239608508293e-162
Clec4a3	5.05585949790329e-164	0.751087307889857	0.852	0.446	1.07507796363416e-159
Plbd1	3.10405059698657e-163	0.692862789220822	0.888	0.475	6.60045318943223e-159
Tyrobp	3.89379421127637e-163	0.757053756764006	0.999	0.659	8.27976401085807e-159
Lpar6	1.70548573712713e-161	0.905656016570813	0.665	0.326	3.62654487142712e-157
Apobec1	6.25497141468e-161	0.734016044470445	0.652	0.311	1.33005712161756e-156
Arrb2	6.8722448769864e-161	0.745337154167892	0.784	0.454	1.46131415064239e-156
Stap1	5.32045487710555e-160	0.95653582282881	0.493	0.179	1.13134152506772e-155
Lacc1	6.97955781501947e-159	0.809172331254734	0.674	0.343	1.48413317378574e-154
Neurl3	2.18254472889291e-158	0.878682146015707	0.736	0.385	4.64096311151789e-154
Lgmn	1.52819530619618e-155	0.677495329552067	0.974	0.708	3.24955449909555e-151
Cyth4	1.98482038687441e-151	0.723461295186732	0.913	0.57	4.22052207064973e-147
Cd86	8.43870617830958e-151	0.780782510628577	0.674	0.322	1.79440648175575e-146
Itgb5	4.18324326746681e-150	0.732069869753842	0.692	0.354	8.89524848394142e-146
Trf	1.15474377233715e-149	0.851661954082446	0.925	0.631	2.45544715749772e-145
Gatm	2.11083511009774e-149	0.706552749307625	0.942	0.588	4.48847977811184e-145
Clec4a1	1.29765219135066e-148	0.795447816455808	0.768	0.402	2.75932761968804e-144
Ntpcr	5.11418764725609e-147	0.736775671679653	0.616	0.312	1.08748086131253e-142
