id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Nkg7	3.03004691132642e-127	3.85059754499833	1	0.587	6.06009382265285e-124
AW112010	1.69174336438872e-126	3.56178781264226	1	0.857	3.38348672877745e-123
Il2rb	9.17697605760882e-123	2.63494051774469	0.99	0.583	1.83539521152176e-119
Klrk1	9.63550798672207e-123	2.8729855910366	0.99	0.665	1.92710159734441e-119
Ms4a4b	1.63538480325014e-122	3.39314716684615	0.995	0.622	3.27076960650028e-119
Klrd1	6.79102597340749e-121	2.81884300033621	0.995	0.64	1.3582051946815e-117
Ptprcap	2.35189508737927e-117	2.42684228871218	0.99	0.573	4.70379017475855e-114
Ctsw	3.52056856260414e-116	2.5465172272246	0.976	0.575	7.04113712520827e-113
Hcst	3.30896382842571e-111	2.35223367504454	0.985	0.78	6.61792765685142e-108
Sept1	9.82735318903095e-109	2.16734184852308	0.98	0.607	1.96547063780619e-105
Txk	2.73063733234492e-107	2.34996814861326	0.946	0.504	5.46127466468985e-104
Sh2d2a	2.44700716340947e-105	2.16110717090736	0.951	0.564	4.89401432681894e-102
Ccl5	8.58239019519049e-105	3.43757880720691	0.966	0.644	1.7164780390381e-101
Gzma	1.35859613848091e-102	4.38330058131042	0.937	0.53	2.71719227696182e-99
Gimap4	2.50014357307015e-102	2.11049121075704	0.956	0.528	5.00028714614029e-99
Cd2	3.60766810513324e-102	1.79989330989207	0.946	0.599	7.21533621026648e-99
Car2	2.90284275047756e-100	2.52912083313274	0.941	0.495	5.80568550095513e-97
Ctla2a	4.9911272589042e-99	2.85291549967281	0.951	0.641	9.9822545178084e-96
Gimap1	1.63765373123937e-98	1.8051255556263	0.966	0.606	3.27530746247874e-95
Trbc1	1.9617690527377e-95	1.96531079681472	0.932	0.499	3.9235381054754e-92
Lck	1.48370311673556e-93	1.53763779482605	0.927	0.469	2.96740623347113e-90
Gimap6	1.99201934984738e-93	1.91976964504254	0.927	0.466	3.98403869969476e-90
Gimap3	2.66014494079582e-87	1.72550274746722	0.912	0.498	5.32028988159163e-84
Ets1	1.1167637057656e-81	1.52939317203589	0.971	0.576	2.2335274115312e-78
Skap1	1.62141882876e-81	1.60255829067063	0.907	0.58	3.24283765752001e-78
Klrb1f	3.39712914226377e-81	1.6140502612214	0.868	0.58	6.79425828452754e-78
Gimap5	3.80413607979788e-79	1.61114019933183	0.902	0.584	7.60827215959575e-76
Stat4	8.67975475891397e-78	1.6587131416854	0.898	0.606	1.73595095178279e-74
Cd52	1.1789571823396e-76	1.35004199782695	1	0.952	2.3579143646792e-73
Ptpn22	1.53465072001831e-74	1.47949189717037	0.893	0.631	3.06930144003661e-71
Pdcd4	1.27183755853089e-73	1.5974837104883	0.951	0.656	2.54367511706177e-70
Prf1	1.9125671766051e-71	2.22553177036128	0.829	0.499	3.8251343532102e-68
Hopx	1.30498582101205e-69	1.47250285007778	0.902	0.688	2.6099716420241e-66
Id2	1.70460041493529e-68	1.57381977015096	0.956	0.789	3.40920082987058e-65
Ikzf3	1.75299920996113e-66	1.16678964637745	0.815	0.435	3.50599841992226e-63
Bcl2	1.01250890072217e-64	1.57128593662726	0.883	0.56	2.02501780144434e-61
Cd160	1.12386673055393e-64	1.13676151171828	0.8	0.439	2.24773346110786e-61
Gzmb	1.99623307279409e-63	2.37747466100529	0.829	0.525	3.99246614558818e-60
Hsd11b1	7.39200731716372e-63	1.16741235477689	0.849	0.597	1.47840146343274e-59
Runx3	2.78927859814527e-61	1.43482916417548	0.907	0.791	5.57855719629053e-58
Gimap7	2.74140162645076e-59	1.45716806722727	0.824	0.585	5.48280325290151e-56
Gm19585	8.81854979914574e-59	1.44401026824854	0.815	0.58	1.76370995982915e-55
Satb1	1.81617056018973e-57	1.59113827180702	0.805	0.523	3.63234112037947e-54
Klrb1a	3.0845224241614e-57	1.25535741794606	0.732	0.346	6.16904484832279e-54
Vps37b	3.69989976056658e-57	1.59444838158969	0.868	0.737	7.39979952113315e-54
Rgs1	3.79873888697761e-56	2.02578712871604	0.902	0.746	7.59747777395522e-53
Dusp2	1.06798933634698e-55	1.56505642126882	0.829	0.507	2.13597867269397e-52
Cd7	1.36252769008925e-55	1.79720366475305	0.82	0.507	2.72505538017849e-52
Serpinb6b	1.72296091313042e-54	1.49769143671453	0.844	0.625	3.44592182626085e-51
Hist1h1e	3.08608968114239e-52	1.13187959764921	0.937	0.887	6.17217936228478e-49
Gm42418	1.74341673770245e-50	0.627649769654635	1	1	3.48683347540491e-47
Ablim1	4.96749024338909e-50	1.13865401299462	0.824	0.494	9.93498048677818e-47
Sell	1.19047333948988e-49	1.44793236923831	0.873	0.679	2.38094667897976e-46
Fasl	1.21784598100945e-49	1.16967932042817	0.746	0.415	2.4356919620189e-46
S100a10	2.61110500754464e-48	1.06341056571714	0.995	0.969	5.22221001508927e-45
Itgal	2.29262054486136e-47	1.23453005378776	0.805	0.674	4.58524108972271e-44
Gimap9	5.5836523716309e-47	1.2196725716755	0.8	0.555	1.11673047432618e-43
Pglyrp2	5.14322545587362e-46	0.517089932827635	0.727	0.443	1.02864509117472e-42
Cd247	7.4343615860215e-44	0.693900133426843	0.722	0.431	1.4868723172043e-40
Pim2	7.90289911150812e-42	0.827322679757688	0.732	0.509	1.58057982230162e-38
Gimap8	1.18018219866403e-41	1.0871714588394	0.737	0.443	2.36036439732807e-38
Cd37	1.48898828134945e-40	1.08970184790596	0.849	0.724	2.97797656269889e-37
Irf8	2.93640798756604e-40	1.13684619941433	0.946	0.85	5.87281597513207e-37
Cyfip2	4.86373766480892e-40	1.10492788120833	0.766	0.595	9.72747532961785e-37
Egr3	5.92580709574581e-40	0.28436367883185	0.698	0.398	1.18516141914916e-36
Lat	4.42528619968408e-38	0.383264776571917	0.756	0.571	8.85057239936816e-35
Trbc2	1.29057171082165e-37	1.52831007055257	0.766	0.563	2.5811434216433e-34
Tcf7	2.40167539061064e-37	0.825064939076587	0.698	0.419	4.80335078122129e-34
Gpr171	6.97938738159075e-37	1.09670966307299	0.824	0.749	1.39587747631815e-33
Thy1	1.47804671485e-36	1.11787480516967	0.751	0.537	2.95609342970001e-33
Fxyd5	1.89547644898025e-36	0.710014905535269	1	0.96	3.79095289796051e-33
Ltb	6.72908586144493e-36	1.21170853283471	0.795	0.66	1.34581717228899e-32
Pglyrp1	7.92533330741123e-36	1.25501705539035	0.751	0.56	1.58506666148225e-32
Nrgn	8.66453137912466e-36	0.864145461672902	0.668	0.405	1.73290627582493e-32
Cd226	1.74110145287979e-35	0.867151655582556	0.702	0.515	3.48220290575958e-32
Il18r1	4.82079050997182e-35	0.802243090417329	0.766	0.556	9.64158101994364e-32
Cst7	8.37148666493793e-34	1.09724072284686	0.746	0.637	1.67429733298759e-30
Hmgb2	1.43397110324373e-33	0.570369927184205	0.946	0.851	2.86794220648746e-30
Gem	1.06692208841952e-32	1.10096434818962	0.751	0.57	2.13384417683904e-29
Zap70	1.38515687046641e-31	0.69616562753381	0.698	0.502	2.77031374093282e-28
Ccr2	3.72896728074492e-31	1.0203518100057	0.946	0.868	7.45793456148985e-28
Styk1	1.58189836368582e-30	0.892630483256665	0.678	0.52	3.16379672737164e-27
Tespa1	3.05983188147545e-30	0.588097889864171	0.678	0.514	6.11966376295091e-27
Gstp3	8.17002879513455e-30	0.284890021871537	0.693	0.573	1.63400575902691e-26
Fam107b	8.80000092424964e-30	0.948909940562606	0.776	0.654	1.76000018484993e-26
Hist1h4d	1.72156862829282e-28	0.710198017375182	0.912	0.812	3.44313725658564e-25
Prkcq	1.66230550560817e-26	0.711362844462205	0.644	0.41	3.32461101121634e-23
Fam214a	2.18769449989431e-25	0.345475620170916	0.61	0.369	4.37538899978863e-22
Gm45716	3.58298549514876e-25	0.656994047158312	0.746	0.646	7.16597099029752e-22
Cd27	5.39706878419687e-25	0.853692178203139	0.678	0.552	1.07941375683937e-21
Dennd4a	5.53632836157771e-25	0.949493935731835	0.751	0.676	1.10726567231554e-21
Serpinb9	9.1112966546391e-24	1.13724023836709	0.707	0.587	1.82225933092782e-20
Spn	1.16419546979276e-23	0.899082288716156	0.663	0.524	2.32839093958552e-20
Fhl2	3.46013459585362e-23	0.56390598633346	0.668	0.512	6.92026919170724e-20
Nabp1	3.89387860117598e-22	0.850249753035961	0.795	0.764	7.78775720235197e-19
Pycard	7.00765736768636e-21	0.774038070213043	0.961	0.945	1.40153147353727e-17
Slc2a3	3.86513663450298e-20	0.299210551273381	0.605	0.446	7.73027326900596e-17
Fam102a	2.84437653855279e-19	0.605076696417559	0.663	0.522	5.68875307710557e-16
Atp1b1	2.92452125566322e-19	0.732620229253685	0.688	0.491	5.84904251132644e-16
Bcl2l11	6.21601956677119e-19	0.807629695239743	0.766	0.724	1.24320391335424e-15
Dusp5	9.37252994239562e-19	0.695989372090396	0.771	0.717	1.87450598847912e-15
Dut	2.58410786941425e-18	0.347407844488123	0.761	0.66	5.16821573882851e-15
Mgst2	2.74157179894901e-18	0.303261519797501	0.624	0.542	5.48314359789803e-15
Gm15472	2.8522075299438e-18	0.766911278949435	0.62	0.52	5.70441505988761e-15
Dapk2	3.20392926993302e-18	0.562806041845799	0.629	0.482	6.40785853986604e-15
Tnfrsf18	5.51278333363567e-18	0.854239495931413	0.663	0.606	1.10255666672713e-14
Fyn	1.46395244530008e-17	0.681759189114275	0.844	0.779	2.92790489060015e-14
Ccdc88c	6.73460481382682e-17	0.575718190957762	0.62	0.48	1.34692096276536e-13
Camk2n1	5.88940265539912e-16	0.284014259938151	0.654	0.509	1.17788053107982e-12
Slamf7	2.53561509490837e-15	0.677901790814494	0.717	0.699	5.07123018981674e-12
Nt5e	6.11129218766021e-15	0.428619118230778	0.605	0.505	1.22225843753204e-11
Sytl2	7.76503979733488e-15	0.490074610266384	0.571	0.371	1.55300795946698e-11
Klrg1	1.09456114761907e-14	0.448898668809778	0.561	0.444	2.18912229523815e-11
Spry2	2.25275615058301e-14	0.762010259070607	0.639	0.502	4.50551230116602e-11
Zcchc18	5.43154258346335e-14	0.404801582839607	0.532	0.341	1.08630851669267e-10
Ier5l	7.98691857087265e-14	0.553163847057961	0.644	0.546	1.59738371417453e-10
Phgdh	1.41653423298066e-13	0.478140057749893	0.654	0.588	2.83306846596132e-10
Ccnd2	2.52942353308803e-13	0.582705477868593	0.756	0.662	5.05884706617607e-10
Agpat2	2.56096474176557e-13	0.325541900597214	0.693	0.55	5.12192948353115e-10
Klrb1b	4.32435410750414e-13	0.978116682296012	0.615	0.625	8.64870821500828e-10
Samsn1	5.62460975473076e-13	0.481632749109906	0.859	0.85	1.12492195094615e-09
Ccl3	5.63400428699712e-13	0.732100185085114	0.688	0.593	1.12680085739942e-09
Hist1h4i	1.91002786323945e-12	0.35237158198868	0.8	0.83	3.8200557264789e-09
Itk	4.71563218403249e-12	0.600994490077278	0.585	0.49	9.43126436806498e-09
Dok2	4.82754657377438e-12	0.589973002321537	0.82	0.857	9.65509314754875e-09
Pecam1	9.26743697414858e-12	0.326750085213593	0.668	0.621	1.85348739482972e-08
Stk26	1.03284092892052e-11	0.433742689262648	0.644	0.584	2.06568185784103e-08
Clnk	1.11038196571064e-11	0.632835498817125	0.58	0.517	2.22076393142127e-08
Cblb	2.88281399970926e-11	0.723934754977898	0.629	0.622	5.76562799941852e-08
Nr4a2	5.20621749802661e-11	0.65201444447761	0.673	0.622	1.04124349960532e-07
Cxcr6	5.83761789837918e-11	0.286779524161217	0.595	0.542	1.16752357967584e-07
Ptp4a3	8.65948812228436e-11	0.360964873665827	0.741	0.63	1.73189762445687e-07
Ly75	1.4633215742122e-10	0.317651502759354	0.585	0.516	2.92664314842439e-07
Sesn3	1.84623193643733e-10	0.400571378274415	0.668	0.573	3.69246387287467e-07
Runx2	2.16193683371235e-10	0.386125524049484	0.576	0.513	4.3238736674247e-07
Lsp1	2.19718793182584e-10	0.267176005690124	0.888	0.877	4.39437586365168e-07
Pkp3	2.88317942261504e-10	0.616232190017514	0.649	0.644	5.76635884523008e-07
Malt1	1.17652229195909e-09	0.570031489237427	0.776	0.812	2.35304458391818e-06
Itgb2	1.24009402511586e-09	0.465115583180129	0.859	0.878	2.48018805023173e-06
Gata3	3.31827448915131e-09	0.462063627150027	0.556	0.48	6.63654897830262e-06
Rgs2	4.67071900147294e-09	0.642766377014284	0.766	0.778	9.34143800294589e-06
Trp53inp1	5.60019314453438e-09	0.263618683280285	0.546	0.456	1.12003862890688e-05
Selenoh	8.50095348882314e-09	0.342244077035081	0.859	0.859	1.70019069776463e-05
Ptpn7	1.80163368496902e-08	0.66699919830049	0.654	0.705	3.60326736993804e-05
S100a11	3.50114937460242e-08	0.306974076834074	0.971	0.972	7.00229874920483e-05
Mxd1	7.03846685646289e-08	0.457682008421906	0.79	0.786	0.000140769337129258
Rgs16	8.03853838489996e-08	0.316186957896868	0.556	0.574	0.000160770767697999
Hvcn1	8.93969345173975e-08	0.313736768217748	0.61	0.632	0.000178793869034795
Lgals1	1.12584188379639e-07	0.52506786575116	0.971	0.991	0.000225168376759277
Gimap1os	4.48415853361859e-07	0.64486116293566	0.498	0.41	0.000896831706723717
Trdc	1.99007767880757e-06	0.852065657052827	0.532	0.492	0.00398015535761513
Lag3	2.30060843010054e-06	0.354759246919415	0.527	0.538	0.00460121686020107
Neurl3	3.08695243395818e-06	0.485088865921544	0.698	0.753	0.00617390486791636
