id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cxcr6	4.03536466001833e-138	2.61601632304592	0.969	0.533	8.07072932003667e-135
Areg	1.10957247286694e-133	3.05947398300603	0.934	0.535	2.21914494573388e-130
Ltb	1.68130342394433e-131	2.56862626008848	0.961	0.655	3.36260684788867e-128
Sept1	1.86226761898625e-131	1.9026999871284	0.988	0.605	3.72453523797249e-128
Tcrg-C1	2.50095701723121e-127	1.58736496228302	0.918	0.387	5.00191403446242e-124
Calca	5.90851208889846e-127	2.07576645880736	0.898	0.405	1.18170241777969e-123
Samsn1	2.3051315602523e-124	2.27153421604603	0.992	0.847	4.61026312050461e-121
Klk8	1.45141175485227e-122	1.39911566332604	0.945	0.595	2.90282350970454e-119
Ly6a	2.0270901235681e-122	2.90304753912512	0.98	0.77	4.0541802471362e-119
Ptprcap	8.73829882656194e-122	1.78995931442409	0.973	0.571	1.74765976531239e-118
Trbc2	7.27144084783641e-120	2.3586002276805	0.949	0.557	1.45428816956728e-116
Tnfrsf18	2.02250202492116e-117	2.00469370269334	0.941	0.599	4.04500404984233e-114
Il17rb	4.17139188989098e-117	0.798766939264296	0.879	0.392	8.34278377978196e-114
Gimap3	2.46810357353614e-114	1.97189522271046	0.93	0.495	4.93620714707228e-111
Hs3st1	7.27519590171553e-114	1.60432407843235	0.914	0.375	1.45503918034311e-110
Ctla2a	5.03689132489314e-113	3.22728845406558	0.957	0.639	1.00737826497863e-109
Klrg1	1.48414260034987e-108	1.30127132769291	0.883	0.436	2.96828520069973e-105
Gimap1	1.64844431199826e-107	1.52577097905392	0.953	0.604	3.29688862399651e-104
Il2ra	2.39555575101838e-107	1.69423364258665	0.895	0.437	4.79111150203676e-104
Il7r	5.12913856558096e-107	1.8418176250152	0.914	0.653	1.02582771311619e-103
Ets1	2.72095634930537e-106	1.65134434127478	0.961	0.574	5.44191269861075e-103
Rgs1	3.38677861327066e-105	2.61148545149227	0.98	0.744	6.77355722654131e-102
Lat	5.86587148375047e-102	1.51133394620174	0.898	0.567	1.17317429675009e-98
Ccnd2	3.53130845832418e-99	1.58192378247148	0.973	0.657	7.06261691664835e-96
Hcst	7.53121587542641e-99	1.5221002601984	0.965	0.78	1.50624317508528e-95
Gata3	3.77376549145385e-97	1.89733465920979	0.879	0.472	7.5475309829077e-94
Il2rb	3.0045663027181e-96	1.19563010659251	0.934	0.583	6.0091326054362e-93
Rora	3.26752882476141e-96	1.59600422101116	0.891	0.453	6.53505764952282e-93
AW112010	1.3163608648128e-95	1.83714311780194	1	0.856	2.63272172962559e-92
Skap1	7.43921781989321e-95	1.56822579533635	0.902	0.579	1.48784356397864e-91
Neb	7.77227855381541e-95	0.869569261685016	0.84	0.374	1.55445571076308e-91
Id2	1.58509013375559e-93	1.71949609165306	0.992	0.788	3.17018026751117e-90
Sh2d2a	1.73562430398284e-93	1.0272788908331	0.91	0.564	3.47124860796569e-90
Txk	7.08654808506159e-93	1.14301553893192	0.902	0.503	1.41730961701232e-89
Itgb7	1.68680893886772e-91	1.43846548011543	0.941	0.749	3.37361787773545e-88
Pxdc1	7.98950755920672e-90	0.878980902710034	0.898	0.485	1.59790151184134e-86
Pglyrp2	3.30769787751405e-89	0.51577047520899	0.855	0.439	6.6153957550281e-86
Ablim1	5.98718635577721e-88	1.16882421645148	0.934	0.49	1.19743727115544e-84
Ptpn22	5.32502604383954e-86	1.21905310327485	0.918	0.629	1.06500520876791e-82
Clnk	3.26008122434969e-85	0.422271564812651	0.844	0.51	6.52016244869938e-82
Icos	8.51092444932121e-83	1.59618814269303	0.848	0.503	1.70218488986424e-79
Nrip1	1.44448434878135e-82	1.43779221561235	0.977	0.771	2.88896869756271e-79
Pdcd4	1.65167307257231e-82	1.40490341622697	0.965	0.654	3.30334614514462e-79
Ctsw	1.92454315407236e-82	1.00387225241605	0.895	0.575	3.84908630814472e-79
Actn2	4.63736858730287e-82	0.706420065436603	0.809	0.4	9.27473717460575e-79
Gimap7	5.70917853700387e-82	1.0062108870668	0.879	0.582	1.14183570740077e-78
Gstp3	4.57033188684892e-81	0.660820816220035	0.852	0.569	9.14066377369783e-78
Cd37	2.09493352365598e-80	1.21262117831184	0.945	0.721	4.18986704731197e-77
Pkp3	5.72238437253511e-80	1.04757285012873	0.895	0.638	1.14447687450702e-76
Bcl11b	1.05956655616891e-79	1.21772018125242	0.844	0.422	2.11913311233781e-76
Ikzf3	1.60336280098994e-78	1.0115869560056	0.844	0.433	3.20672560197987e-75
Fgl2	5.73832254048984e-77	1.44940460237518	0.988	0.84	1.14766450809797e-73
Fhl2	3.73354167696471e-76	0.463514535472256	0.875	0.507	7.46708335392943e-73
4932438H23Rik	6.05857746743974e-76	0.462247368771577	0.848	0.586	1.21171549348795e-72
Fam102a	5.85788000906853e-75	1.22235319049664	0.867	0.517	1.17157600181371e-71
Smco4	1.17805824781359e-74	1.05486087791576	0.875	0.505	2.35611649562718e-71
Furin	8.43440869395218e-74	2.18475071468598	0.93	0.781	1.68688173879044e-70
Cited4	6.11836016967634e-73	0.492770275744012	0.828	0.466	1.22367203393527e-69
Dgat1	9.28259907879466e-73	1.24020035415515	0.918	0.678	1.85651981575893e-69
Nrgn	5.39709724897009e-72	0.872041726639075	0.801	0.401	1.07941944979402e-68
Hilpda	1.36620381605285e-71	1.99861546170963	0.918	0.747	2.73240763210569e-68
Cst7	9.69805745451295e-70	0.642499388146104	0.863	0.634	1.93961149090259e-66
Kit	1.32045782551367e-69	0.714435922030062	0.844	0.412	2.64091565102735e-66
Sytl2	4.4647560833242e-69	0.346005330777234	0.812	0.365	8.92951216664841e-66
Hes1	6.22877763714622e-69	1.86794372435027	0.891	0.52	1.24575552742924e-65
Tmem64	7.90311584375327e-69	1.10824205173039	0.84	0.553	1.58062316875065e-65
Il1rl1	1.07843857518822e-67	2.06840091784428	0.793	0.417	2.15687715037644e-64
Ltb4r1	1.28169171609127e-66	1.03352716275621	0.973	0.817	2.56338343218254e-63
Thy1	6.80164427751813e-66	1.5048403299671	0.832	0.534	1.36032885550363e-62
Gimap6	1.76437917883712e-64	1.11078697667745	0.832	0.466	3.52875835767424e-61
Tespa1	1.29767758741987e-63	0.990525318558749	0.816	0.51	2.59535517483974e-60
Cytip	1.97362536258733e-63	1.06344445245979	0.973	0.819	3.94725072517465e-60
Fxyd5	3.74366895261713e-63	0.929841710900393	1	0.96	7.48733790523425e-60
Tnfrsf9	4.52515812317431e-63	1.22728856658344	0.809	0.619	9.05031624634863e-60
Dkk3	5.04466439085009e-62	0.353714525997695	0.863	0.447	1.00893287817002e-58
Hlf	6.19854316943413e-62	0.631105215941444	0.809	0.465	1.23970863388683e-58
Lck	1.30160822034928e-61	0.977343093163277	0.812	0.469	2.60321644069856e-58
F2r	1.85871019344143e-61	0.9782122949554	0.848	0.522	3.71742038688287e-58
Epas1	2.06288879256388e-61	0.933551915419969	0.832	0.429	4.12577758512776e-58
Gzmb	4.89689409701618e-61	1.61400700655371	0.805	0.524	9.79378819403236e-58
Ccr9	4.8787207544949e-60	0.800136437562442	0.789	0.574	9.75744150898979e-57
Ramp1	6.91721305988124e-60	1.45360435346712	0.84	0.576	1.38344261197625e-56
Lag3	1.26317550617218e-59	0.643371882209724	0.793	0.532	2.52635101234436e-56
S100a4	1.27048927187827e-58	1.45279347505215	0.977	0.887	2.54097854375655e-55
Inpp4b	3.13203084810095e-58	1.01474535938119	0.824	0.564	6.2640616962019e-55
Rrad	1.01580161040303e-57	0.809277921430745	0.816	0.485	2.03160322080605e-54
Atad2	5.10350998016174e-57	0.585052258865333	0.902	0.656	1.02070199603235e-53
Trib2	5.49577331705984e-57	0.534485081838734	0.789	0.522	1.09915466341197e-53
Lig1	1.97991935421611e-56	0.721959392685205	0.867	0.58	3.95983870843221e-53
Emb	2.24151110156253e-56	1.07882486172025	0.953	0.883	4.48302220312505e-53
Camk2n1	2.25612010887297e-56	0.668296607717278	0.844	0.504	4.51224021774594e-53
Itgb3	1.23289751903239e-54	0.700624486731038	0.812	0.524	2.46579503806477e-51
Gimap5	1.4646712170394e-54	0.955570667396491	0.832	0.584	2.92934243407879e-51
Cd52	3.53027375516904e-54	1.02795579925203	1	0.951	7.06054751033808e-51
Ptpn13	1.19672249774506e-53	1.1263912173336	0.805	0.449	2.39344499549013e-50
Ccdc184	1.02076754677181e-52	0.568202268046615	0.73	0.429	2.04153509354363e-49
Cd3g	2.0940431571332e-52	1.48671545470821	0.77	0.519	4.18808631426639e-49
Gm5547	1.48434558410635e-51	0.253298934694056	0.824	0.623	2.9686911682127e-48
Itk	4.45582007876391e-51	1.08557643747154	0.766	0.485	8.91164015752781e-48
Hmgb2	2.16842991710587e-50	0.633588302775903	0.965	0.85	4.33685983421175e-47
Vps37b	6.34936880134334e-50	1.23030178027079	0.875	0.737	1.26987376026867e-46
Tnfrsf4	1.68975927916011e-49	1.33543921291193	0.711	0.383	3.37951855832023e-46
P2ry10	1.090479039937e-48	0.889829547484581	0.809	0.616	2.180958079874e-45
Sdf4	2.09314788936245e-48	1.02218852807316	0.984	0.878	4.18629577872491e-45
Gimap9	2.58980256462812e-47	0.831820334639454	0.805	0.554	5.17960512925625e-44
Tnfsf10	4.89799183681848e-47	0.402489790795735	0.789	0.52	9.79598367363697e-44
Gimap4	6.3821497027459e-47	1.13844450699637	0.789	0.53	1.27642994054918e-43
Capg	7.68603321935106e-47	1.0170988000899	0.973	0.886	1.53720664387021e-43
Ccdc88c	8.53077462893847e-47	0.680481378438499	0.785	0.475	1.70615492578769e-43
Dnajc9	2.23771009090777e-46	0.570867891525829	0.891	0.68	4.47542018181554e-43
Nt5e	7.7891282907156e-46	0.723220073641332	0.773	0.501	1.55782565814312e-42
Zap70	1.01970573296624e-45	0.878931102678514	0.758	0.499	2.03941146593248e-42
Hist1h1e	1.68017444912232e-45	0.783491215178432	0.957	0.886	3.36034889824465e-42
Gem	2.44723763622121e-45	0.571452990042297	0.875	0.566	4.89447527244243e-42
Nkg7	1.13658693105905e-44	0.650325660654574	0.801	0.59	2.2731738621181e-41
Srgn	1.38466575899149e-44	0.753852660617746	1	0.952	2.76933151798297e-41
Dusp4	2.61251168074555e-44	0.330676971967919	0.727	0.506	5.2250233614911e-41
Stat4	3.73829088154523e-44	0.812797489678235	0.793	0.607	7.47658176309045e-41
Cd4	4.13058705757556e-44	0.622722090169483	0.73	0.428	8.26117411515113e-41
Traf1	6.59110739663138e-44	1.13505919279651	0.82	0.633	1.31822147932628e-40
Dut	1.58485707636399e-43	0.698809014834095	0.887	0.656	3.16971415272798e-40
AA467197	1.84028670711585e-43	0.609718108485669	0.918	0.776	3.68057341423171e-40
Tcrg-C4	7.18416209797498e-43	0.966441739338919	0.723	0.397	1.436832419595e-39
Dnmt1	1.1523301464873e-42	0.498429439374957	0.914	0.692	2.30466029297459e-39
Nabp1	1.21552226016729e-41	1.0571573042772	0.855	0.762	2.43104452033459e-38
Cd27	1.83263529340143e-41	0.564520937270577	0.77	0.549	3.66527058680286e-38
Gm17056	2.06225098932516e-41	0.252378047142166	0.727	0.403	4.12450197865033e-38
Tnfaip3	4.24007132570549e-40	0.881797298130868	0.816	0.561	8.48014265141098e-37
Il10	1.31921329560553e-39	0.829155857744486	0.711	0.505	2.63842659121105e-36
Adam19	6.0254205763604e-39	0.700164876287623	0.82	0.558	1.20508411527208e-35
Gimap8	1.26864689055793e-38	0.726263182002812	0.742	0.441	2.53729378111587e-35
Rnf128	2.00125120789136e-38	0.644565336908676	0.75	0.517	4.00250241578273e-35
S100a10	4.56625525443182e-38	0.791346976173456	0.996	0.969	9.13251050886364e-35
Ptpn7	5.21139308371125e-38	0.849792880785448	0.801	0.702	1.04227861674225e-34
Bcl2	1.02385269828495e-37	0.896577165033286	0.805	0.561	2.04770539656991e-34
Tnfsf8	1.63078084197564e-37	0.431783666811764	0.219	0.586	3.26156168395128e-34
Lmo4	1.72481271130277e-37	1.17391438082081	0.898	0.835	3.44962542260554e-34
Peli1	5.80657857380709e-37	0.73486851699451	0.895	0.665	1.16131571476142e-33
Espn	4.50673670010625e-36	0.402190684238539	0.773	0.538	9.0134734002125e-33
Spn	3.22023287366249e-35	0.771127026215913	0.727	0.522	6.44046574732498e-32
Egr3	6.05988896378486e-35	0.253696721252356	0.703	0.397	1.21197779275697e-31
Ero1l	7.28026812680562e-35	0.916941021515453	0.816	0.71	1.45605362536112e-31
Trbc1	1.02389957234353e-34	1.48243366455442	0.738	0.501	2.04779914468707e-31
Dctpp1	1.17224293418619e-32	0.424476328229322	0.906	0.777	2.34448586837237e-29
Socs2	1.296421580657e-32	0.826245158379555	0.91	0.763	2.59284316131399e-29
Cd28	2.93226861474909e-31	0.815325730121378	0.691	0.469	5.86453722949818e-28
Ldha	5.9761586058969e-30	0.628789048804438	0.996	0.987	1.19523172117938e-26
Serpinb1a	9.70502053863576e-30	0.960017512444819	0.832	0.666	1.94100410772715e-26
Cd226	1.17668985447316e-29	0.759165984830699	0.707	0.514	2.35337970894631e-26
Kcnn4	2.8997923087608e-29	0.554143528784371	0.824	0.67	5.7995846175216e-26
Gbp4	3.37141790930677e-29	0.835022007886816	0.883	0.737	6.74283581861354e-26
Hist1h4d	6.13682661867752e-29	0.411051579743553	0.949	0.811	1.2273653237355e-25
Runx2	8.28191844552879e-29	0.301011373669432	0.723	0.509	1.65638368910576e-25
Isg20	5.78332938761091e-28	0.525585760209704	0.805	0.63	1.15666587752218e-24
Klrb1b	7.68072231883896e-28	0.455851789398696	0.746	0.622	1.53614446376779e-24
Cd2	1.57340486018758e-27	0.942195962000776	0.715	0.603	3.14680972037517e-24
Gm42418	2.89868164597606e-27	0.377775600429759	1	1	5.79736329195213e-24
Tbrg1	2.91416894582455e-27	0.483687770675918	0.957	0.829	5.82833789164909e-24
Dusp5	4.22837631957858e-27	0.852483489697757	0.816	0.716	8.45675263915716e-24
Prdm1	8.66278363962819e-27	0.2878602241048	0.809	0.577	1.73255672792564e-23
Mxd1	1.37729830023797e-26	0.625786522570869	0.887	0.784	2.75459660047595e-23
Cd3d	1.80877491205118e-26	1.37048589533407	0.672	0.525	3.61754982410236e-23
Coro2a	2.27541017137219e-26	0.681473703028852	0.859	0.758	4.55082034274438e-23
Mdh1	4.62330203209509e-26	0.558933390976039	0.973	0.914	9.24660406419017e-23
Trac	1.65600911020606e-25	1.05750066222737	0.676	0.547	3.31201822041212e-22
