id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Slpi	0	5.20049086984255	0.984	0.716	0
Dcn	0	3.26443864050542	1	0.633	0
Hspb1	0	2.60520911370978	0.995	0.617	0
Rarres2	0	3.53569690287006	1	0.61	0
Chil1	0	2.31010622782249	0.989	0.588	0
Col6a1	0	2.35180201998259	0.997	0.64	0
Serping1	0	2.26471524904923	0.998	0.592	0
C3	0	4.61677355749254	1	0.853	0
Nfib	0	1.93676768134081	0.997	0.592	0
Gm12840	0	2.49947315521549	0.997	0.603	0
Clu	0	1.84157637123171	0.987	0.564	0
Aebp1	0	2.44526341329209	1	0.671	0
Prr15	0	2.37832512076241	0.985	0.658	0
Fmo2	0	2.39850676903076	0.961	0.487	0
Cd200	0	1.9033547074951	0.998	0.507	0
Cavin1	0	1.81937365259415	0.995	0.522	0
C1s1	0	2.50892944765775	1	0.553	0
Igfbp6	0	3.38664829283173	1	0.727	0
Cdh11	0	1.93427360309901	0.993	0.454	0
Mgst1	0	2.30633441469196	0.998	0.788	0
Aldh1a2	0	1.543428013866	0.976	0.572	0
Gm49708	0	2.68619616795696	0.987	0.71	0
Rspo1	0	1.52710173414867	0.967	0.567	0
Arhgap29	0	2.13721956402259	1	0.533	0
Gas1	0	3.09103612821788	0.998	0.547	0
Gas6	0	2.44342600992241	0.992	0.746	0
Bicc1	0	1.86543129937749	1	0.564	0
Ptgis	0	2.22701351632805	0.998	0.57	0
Alcam	0	2.68469249124289	0.989	0.701	0
Cd55	0	2.07290200293486	0.984	0.57	0
Ezr	0	1.95643602579907	1	0.823	0
Nnmt	0	1.52260040291782	0.989	0.645	0
C1ra	0	2.0059875806735	0.997	0.603	0
Slc9a3r1	0	1.82358685400626	0.997	0.837	0
Smim1	0	1.86854208922894	0.982	0.613	0
Cd2ap	0	1.86236624117491	1	0.893	0
Bsg	0	1.66465247903534	1	0.961	0
Syne2	0	1.72456107893791	0.987	0.567	0
Ccdc80	9.53176504370493e-308	2.10176836538568	0.992	0.607	1.90635300874099e-304
Cfb	1.62142958327315e-307	1.78141028298973	0.98	0.65	3.2428591665463e-304
Spint2	7.40808131308381e-307	1.52679238529324	0.985	0.554	1.48161626261676e-303
Arhgef12	2.08203667525703e-306	1.80946090281113	0.995	0.597	4.16407335051405e-303
Mgp	8.4750033708381e-305	2.54697016495962	1	0.701	1.69500067416762e-301
Pdpn	2.0514860140868e-304	1.81557857082918	0.992	0.777	4.1029720281736e-301
Bcam	1.99560416916916e-303	1.70213455326387	0.964	0.513	3.99120833833833e-300
Slc39a8	2.12681188237398e-303	2.10587971155236	0.958	0.632	4.25362376474795e-300
Cfh	4.42485321935177e-303	1.89392418088198	0.995	0.71	8.84970643870353e-300
Slc16a1	5.9395403782574e-303	1.67726304583158	0.967	0.617	1.18790807565148e-299
Efna5	5.35007988521034e-301	1.42969684168477	0.972	0.493	1.07001597704207e-297
Tm4sf1	6.07118995025175e-301	2.01696254364327	0.985	0.554	1.21423799005035e-297
Pcolce	3.93235057909868e-300	1.72122988924028	0.985	0.584	7.86470115819736e-297
Ptprf	4.29449809272058e-298	1.30761222743249	0.964	0.439	8.58899618544116e-295
Stk26	7.59568707685036e-298	1.312471507298	0.961	0.564	1.51913741537007e-294
Crip1	8.92173997448646e-298	2.03712248165557	1	0.984	1.78434799489729e-294
Tmem176b	2.0265744170333e-296	1.82315650655231	1	0.9	4.0531488340666e-293
Cavin3	1.39982461812088e-295	1.73087351458462	0.993	0.575	2.79964923624176e-292
Gsta4	3.5845101982814e-292	1.36585349417895	0.95	0.461	7.16902039656281e-289
Nedd4	1.65482929192351e-289	1.91706923059945	1	0.644	3.30965858384702e-286
Col6a2	1.64068919005488e-288	2.01621611747621	0.99	0.587	3.28137838010975e-285
Il18r1	2.55667916993698e-288	1.80975994105408	0.95	0.537	5.11335833987397e-285
C4b	6.83638264573469e-288	1.99331191233358	0.99	0.77	1.36727652914694e-284
Aldh1a1	1.09698144775014e-286	1.7004621510869	0.961	0.483	2.19396289550027e-283
Mt2	3.90278457885533e-286	2.15129513778384	0.987	0.595	7.80556915771066e-283
Plxna4	2.02685408502613e-285	1.22281995549536	0.966	0.511	4.05370817005225e-282
Csrp2	6.6031864186282e-285	1.9356957573471	0.984	0.716	1.32063728372564e-281
Gabarapl1	4.60350167080022e-283	1.39938381061547	0.984	0.551	9.20700334160044e-280
Il6st	1.01140298224732e-281	1.61039663492331	0.995	0.676	2.02280596449464e-278
Dmkn	2.04337011421662e-281	2.29544914277188	0.964	0.668	4.08674022843323e-278
Lrba	2.19467271432382e-281	1.36981328376051	0.972	0.603	4.38934542864765e-278
Loxl1	2.12813919078151e-280	1.28998865419354	0.984	0.577	4.25627838156303e-277
Col1a2	5.34822794516942e-280	2.12543990648983	1	0.623	1.06964558903388e-276
Creg1	3.75024292323738e-278	1.54115232557468	0.998	0.906	7.50048584647477e-275
Cd151	1.23351525003699e-276	1.26885232626837	0.993	0.65	2.46703050007398e-273
Mpp6	6.75924584539618e-273	1.35052546641033	0.989	0.782	1.35184916907924e-269
Cryab	8.95395720699005e-273	1.55906711744831	0.979	0.583	1.79079144139801e-269
Dag1	1.26936883579284e-272	1.3796936541882	0.984	0.668	2.53873767158567e-269
Flrt2	6.21736703136698e-272	1.48413104734695	0.948	0.649	1.2434734062734e-268
Anxa1	2.98791833375534e-271	1.55499878283967	0.995	0.862	5.97583666751069e-268
Snhg18	7.41471916923724e-270	1.33588468720898	0.976	0.55	1.48294383384745e-266
Col14a1	3.64250079223712e-266	2.1203262937182	0.951	0.623	7.28500158447424e-263
Bicd1	5.25526849198334e-266	1.36788557555477	0.932	0.482	1.05105369839667e-262
Palmd	5.96310161327879e-266	1.20611697849029	0.92	0.492	1.19262032265576e-262
Cav1	3.33049844679769e-265	1.45020832605644	0.966	0.484	6.66099689359537e-262
Plod2	3.4012735330167e-262	1.32831000940901	0.984	0.6	6.80254706603339e-259
Gpx3	5.08318601905787e-260	1.96662398834493	0.984	0.693	1.01663720381157e-256
Tmem176a	2.77705017265055e-256	1.49932032906134	1	0.877	5.5541003453011e-253
Serpinh1	1.06352121901007e-255	1.60582846987718	0.993	0.597	2.12704243802014e-252
Col3a1	5.56292583152635e-255	1.56270338785662	0.995	0.62	1.11258516630527e-251
Sparc	4.44277462709437e-254	2.12288604655464	1	0.664	8.88554925418874e-251
Rpap3	1.32750271825603e-253	1.2011609332706	0.958	0.629	2.65500543651206e-250
Cdon	1.01914799526165e-252	1.13294486245347	0.912	0.466	2.03829599052329e-249
Oat	1.5537322203247e-251	1.26746171728949	0.99	0.776	3.1074644406494e-248
Fth1	2.12341802163241e-251	1.53503901122411	1	1	4.24683604326482e-248
Ltbp3	2.56625467674412e-251	1.18426324689846	0.961	0.581	5.13250935348823e-248
Pcdh7	8.60923154251839e-249	1.11038561043395	0.938	0.525	1.72184630850368e-245
Serpinb1a	9.64123374650663e-249	1.33586750586397	0.948	0.654	1.92824674930133e-245
Igfbp7	1.73776525889944e-248	1.64500003697298	1	0.578	3.47553051779888e-245
Tsc22d1	2.82235898127073e-248	1.3569399714575	0.979	0.628	5.64471796254147e-245
Ncoa4	1.3627945826969e-247	1.36869335234355	0.972	0.653	2.72558916539381e-244
Nckap1	3.07827559955888e-246	1.12905852600746	0.967	0.569	6.15655119911776e-243
Maged1	9.19714945012624e-245	1.21784383132508	0.971	0.614	1.83942989002525e-241
Parva	9.34294400562469e-245	1.06345953024598	0.959	0.555	1.86858880112494e-241
Nenf	1.3993792656876e-242	1.21032268622646	0.993	0.835	2.7987585313752e-239
Il17re	5.35912057876835e-240	0.910585260540854	0.875	0.409	1.07182411575367e-236
Serpinb6b	9.64706007023984e-240	1.36143199064389	0.941	0.611	1.92941201404797e-236
F11r	1.58520223508513e-239	1.00193690014804	0.953	0.652	3.17040447017027e-236
Hist1h2bc	2.34050134132703e-238	1.33575301803531	0.972	0.842	4.68100268265407e-235
Sulf1	2.65169592983192e-238	1.22242643475217	0.904	0.413	5.30339185966384e-235
Crim1	4.69729453431391e-238	1.15157256413582	0.945	0.526	9.39458906862783e-235
Col1a1	1.16881623795707e-236	0.894107969030848	0.995	0.622	2.33763247591415e-233
Cavin2	1.66674384017787e-235	1.50248108787469	0.932	0.492	3.33348768035574e-232
Alad	2.58872913106702e-235	1.10480451338041	0.943	0.693	5.17745826213403e-232
Nbl1	3.81253547871238e-234	1.23097099436894	0.925	0.452	7.62507095742476e-231
Colec12	1.17865985722075e-233	1.19760632284373	0.959	0.595	2.35731971444151e-230
Pbx1	1.59356680657044e-232	1.14302509592191	0.964	0.561	3.18713361314089e-229
Heg1	2.35023361612806e-232	1.2179315323631	0.958	0.551	4.70046723225613e-229
Sbsn	3.14457991335241e-231	1.18926723264917	0.883	0.416	6.28915982670481e-228
P3h4	7.21095404442557e-231	1.05098606363386	0.914	0.562	1.44219080888511e-227
Meg3	1.85447401014504e-230	1.36176243701929	0.917	0.453	3.70894802029008e-227
Gpx8	7.09307917847121e-229	1.10190020145281	0.946	0.522	1.41861583569424e-225
Gbp2	6.80641844875932e-227	1.61936677275427	0.99	0.831	1.36128368975186e-223
Wnt5a	5.22719887281616e-226	1.06836394382252	0.904	0.448	1.04543977456323e-222
Sox4	5.92541935071807e-225	1.18773156044187	0.953	0.674	1.18508387014361e-221
Tbrg1	1.11596316835855e-223	1.10843082158396	0.99	0.823	2.2319263367171e-220
