id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
G0s2	3.53770114071363e-198	3.67587887243281	0.955	0.652	7.07540228142726e-195
Il1b	3.94883385658366e-182	2.36810536367811	0.998	0.865	7.89766771316733e-179
Cxcl2	6.18408317030056e-182	3.10557679312216	0.983	0.772	1.23681663406011e-178
Srgn	7.67116021492813e-177	1.92300279502953	1	0.952	1.53423204298563e-173
Cxcr2	1.68653625330909e-172	1.95871762255637	0.905	0.588	3.37307250661818e-169
Trem1	8.30308018007357e-161	1.44552891353716	0.912	0.706	1.66061603601471e-157
Hdc	2.96666611827917e-156	1.90907983708608	0.891	0.653	5.93333223655834e-153
Pim1	2.77161232770486e-149	1.31827973560281	1	0.964	5.54322465540972e-146
Il1r2	2.32434519691142e-148	1.60496674228931	0.905	0.721	4.64869039382283e-145
Tnfaip2	3.53944130904312e-148	1.73447931888382	0.979	0.793	7.07888261808624e-145
Il1rn	2.66758553541489e-147	1.62874883135332	0.957	0.761	5.33517107082978e-144
Cd300lf	6.3166519016582e-144	1.31329393748384	0.962	0.805	1.26333038033164e-140
Slfn1	2.798591967447e-140	1.40212083429515	0.955	0.801	5.597183934894e-137
Plek	6.17608415679261e-139	1.24273139470312	0.998	0.875	1.23521683135852e-135
Csf3r	6.27392919145288e-138	1.22469846947773	0.903	0.655	1.25478583829058e-134
Mxd1	2.8646677453958e-127	1.49136111546587	0.945	0.78	5.72933549079159e-124
Clec4d	2.43818977922283e-124	1.15499512113569	0.876	0.687	4.87637955844566e-121
Plaur	8.91638663206797e-124	1.33690583826515	0.945	0.819	1.78327732641359e-120
Emilin2	1.13702637931776e-117	0.986161038033414	0.99	0.877	2.27405275863552e-114
Csf2rb	7.28092481824528e-116	0.979660473142959	0.988	0.859	1.45618496364906e-112
Lrg1	7.11640763465634e-114	1.49615562967191	0.846	0.641	1.42328152693127e-110
Cd14	2.54209720569435e-111	1.51772065063485	0.981	0.843	5.08419441138869e-108
Clec4e	1.08438235435788e-107	1.24068646939411	0.862	0.649	2.16876470871577e-104
Nlrp3	3.03501241656327e-107	1.10543159182449	0.905	0.718	6.07002483312654e-104
Wfdc17	6.68768629410364e-107	1.3839791532513	0.995	0.923	1.33753725882073e-103
Samsn1	2.62065402852237e-106	1.09952148083832	0.957	0.846	5.24130805704475e-103
Smox	1.98717465148071e-102	0.996523387217963	0.881	0.728	3.97434930296143e-99
Msrb1	7.80593693868854e-101	1.09700002266745	0.983	0.893	1.56118738773771e-97
Ifitm1	1.1659693675884e-100	1.72444588903726	0.905	0.703	2.3319387351768e-97
Slc7a11	6.13311299923211e-99	1.07842940252564	0.822	0.678	1.22662259984642e-95
Hcar2	7.44209906608678e-98	1.34595679193612	0.808	0.625	1.48841981321736e-94
Mmp9	2.14626204023062e-91	1.22118341729957	0.789	0.552	4.29252408046125e-88
Grina	1.95505329919046e-90	0.947950609328507	0.964	0.857	3.91010659838092e-87
Neat1	3.23403740375491e-90	1.00762671126789	0.995	0.895	6.46807480750982e-87
Ptgs2	9.24859857163708e-89	1.2466066501761	0.855	0.693	1.84971971432742e-85
C5ar1	1.11745564090808e-88	0.832172691290213	0.967	0.799	2.23491128181615e-85
Upp1	3.37884165651179e-87	1.2551886212328	0.817	0.674	6.75768331302358e-84
Osm	3.68528537424432e-87	0.911414823454263	0.967	0.813	7.37057074848864e-84
Ccrl2	7.77309732524889e-86	1.33477884141503	0.874	0.681	1.55461946504978e-82
Lst1	1.04993868423852e-85	0.936218238575067	0.983	0.877	2.09987736847705e-82
Cd44	1.15361389500566e-85	0.868335662336882	0.969	0.853	2.30722779001131e-82
Lmnb1	1.62597115025262e-85	0.847482656660011	0.914	0.775	3.25194230050525e-82
Cd9	4.36014894932795e-85	1.38937970298708	0.941	0.797	8.7202978986559e-82
Cd33	2.84183048987067e-83	0.983896885638883	0.831	0.603	5.68366097974134e-80
Basp1	1.88604148632252e-80	1.00956743116883	0.976	0.895	3.77208297264505e-77
Ier3	1.97433203653267e-80	0.951402584764389	0.998	0.873	3.94866407306534e-77
Pde4b	1.28968370163005e-78	0.806933667017066	0.938	0.768	2.57936740326011e-75
Cdkn1a	1.71083732512765e-76	0.904227102489818	0.988	0.852	3.42167465025531e-73
Ccl6	3.41963871361619e-75	0.927610848795566	0.99	0.89	6.83927742723239e-72
Gadd45b	1.13179752085177e-74	1.28838622800876	0.893	0.642	2.26359504170355e-71
Cd24a	7.38404002078668e-74	0.828473125416042	0.822	0.661	1.47680800415734e-70
Slc16a3	1.08019926723703e-72	0.756811606369042	0.865	0.758	2.16039853447405e-69
Il1a	7.10363846352899e-72	1.06030471284499	0.791	0.687	1.4207276927058e-68
Isg15	2.51516373760877e-71	1.04508702586262	0.929	0.849	5.03032747521754e-68
Bcl2a1a	6.39746382056643e-71	0.597688074376819	0.931	0.833	1.27949276411329e-67
Clec4n	9.1225556312274e-71	0.808680369772741	0.955	0.863	1.82451112624548e-67
Tgm2	1.23913310381727e-70	0.882566600146966	0.95	0.867	2.47826620763454e-67
Samhd1	1.65621093121017e-70	0.69422751350577	0.995	0.922	3.31242186242035e-67
Dusp1	4.21500930114701e-70	0.836576007825821	0.986	0.867	8.43001860229402e-67
Slc15a3	4.86060333884183e-70	0.777113164997399	0.969	0.883	9.72120667768365e-67
Hp	1.02248385467395e-68	0.587900414907114	0.884	0.723	2.04496770934789e-65
Entpd1	2.28598653533814e-67	0.743850423704691	0.862	0.672	4.57197307067628e-64
Itgam	2.3853069583302e-67	0.647574076042528	0.941	0.787	4.77061391666041e-64
Lilrb4a	3.16750133052782e-67	0.709530587884995	0.91	0.752	6.33500266105564e-64
Clec5a	3.78323906490412e-67	0.823625281631566	0.791	0.673	7.56647812980824e-64
Fcgr4	2.73579646974191e-66	0.662627291468212	0.929	0.823	5.47159293948381e-63
Arg1	3.85081537295224e-66	1.21265980285357	0.926	0.829	7.70163074590448e-63
Ptafr	4.07351797499233e-66	0.772436337030056	0.879	0.7	8.14703594998465e-63
Cyp4f18	6.73484000372778e-66	0.691530422518654	0.929	0.814	1.34696800074556e-62
Mrc1	8.43156965030956e-66	0.794060263872112	0.981	0.861	1.68631393006191e-62
H2-Q10	1.05446260816899e-64	0.86896467151248	0.705	0.5	2.10892521633798e-61
Bcl2a1b	7.81762935876636e-64	0.723937801487786	0.995	0.903	1.56352587175327e-60
Il4ra	2.70388835791983e-63	0.64836994204981	0.971	0.892	5.40777671583967e-60
Ncf1	7.15123121459272e-63	0.661559630377214	0.933	0.814	1.43024624291854e-59
Oasl2	1.05110363316943e-62	0.735023643761093	0.893	0.757	2.10220726633885e-59
Gda	1.20663426177497e-61	0.663524679472757	0.981	0.899	2.41326852354993e-58
Cd274	9.62123241187049e-61	0.798556352890193	0.853	0.744	1.9242464823741e-57
Trib1	3.68061246798694e-60	0.610439981829337	0.905	0.786	7.36122493597387e-57
Nfkbid	4.22283886931076e-59	0.529206787393765	0.739	0.503	8.44567773862152e-56
Plk3	5.05007897434595e-59	0.612833399005777	0.781	0.686	1.01001579486919e-55
Ctsd	7.01661237081388e-59	0.62976189579355	0.99	0.944	1.40332247416278e-55
Pygl	1.31817837477635e-58	0.647857105800327	0.834	0.706	2.6363567495527e-55
Pf4	5.78740004736614e-58	1.00040360254691	0.943	0.849	1.15748000947323e-54
Ccl24	5.9627349915443e-58	0.91080019164948	0.938	0.89	1.19254699830886e-54
Siglece	4.12542697096065e-57	0.594379784858078	0.76	0.623	8.25085394192129e-54
Cass4	2.23852082261856e-56	0.60354527160147	0.698	0.561	4.47704164523712e-53
Rnasel	4.26567921844113e-56	0.566640776462619	0.912	0.804	8.53135843688226e-53
Fgr	8.82048529015623e-56	0.520544185369524	0.86	0.78	1.76409705803125e-52
Pla2g7	1.45461846417412e-54	0.661169980681015	0.933	0.776	2.90923692834824e-51
Thbs1	1.32801657814862e-53	0.941720370101153	0.917	0.839	2.65603315629724e-50
Dgat1	5.92719948815818e-53	0.554973235156882	0.805	0.679	1.18543989763164e-49
Arg2	4.4734202942414e-52	0.711810616065782	0.708	0.635	8.94684058848279e-49
Csrnp1	4.55232057843782e-52	0.551999796377825	0.841	0.661	9.10464115687565e-49
Cd300ld	5.38037102211897e-52	0.555880277561736	0.77	0.596	1.07607420442379e-48
Cdk2ap2	5.4634765117217e-52	0.768496433235229	0.933	0.879	1.09269530234434e-48
Ctsb	7.52963190052506e-52	0.641284812736584	0.998	0.99	1.50592638010501e-48
Ltb4r1	1.16463786713329e-51	0.597095371881079	0.905	0.817	2.32927573426658e-48
Fos	1.33714747359064e-50	0.736886859981676	1	0.893	2.67429494718128e-47
Rnf149	3.6618779090536e-49	0.512538228706876	0.857	0.807	7.3237558181072e-46
Ccl8	1.32346147704575e-48	0.721689223248511	0.917	0.888	2.6469229540915e-45
Nfil3	1.51642046762671e-48	0.542731586158361	0.907	0.842	3.03284093525341e-45
Adam8	1.05844001280379e-47	0.606945670053539	0.8	0.731	2.11688002560758e-44
Mafb	1.07796754884721e-47	0.628669042125238	0.974	0.861	2.15593509769441e-44
Tgfbi	1.11990488780805e-47	0.673334571298627	0.981	0.89	2.23980977561611e-44
Adgre1	2.74342555549407e-47	0.392403005252538	0.941	0.776	5.48685111098813e-44
Ppp1r15a	3.18289218035998e-47	0.571426815164445	0.867	0.641	6.36578436071995e-44
Marcksl1	5.5507631307245e-47	0.637468293996735	0.886	0.732	1.1101526261449e-43
Fpr2	8.73666018853962e-47	0.620668602726527	0.682	0.584	1.74733203770792e-43
Ccl9	8.81439558669378e-47	0.666396890760889	0.952	0.849	1.76287911733876e-43
