gene	cluster
tbx20	1
si:dkey-175g6.2	1
ntrk3b	1
gchfr	1
kcng1	1
chgb	1
nrxn1a	1
BX248331.1	1
ca16b	1
arl4aa	1
mafb	1
cxxc4	1
CABZ01080371.1	1
pappaa	1
gfra2a	1
bnc2	1
myo16	1
grip2b	1
si:ch211-243g18.2	1
mylkb	1
slc18a2	1
hmx4	1
si:ch211-56a11.2	1
si:ch211-198m17.1	1
iqsec2b	1
otpb	1
ptpn18	1
cntn3a.2	1
neurog1	1
gsx1	1
nkain2	1
slc6a4b	1
trpc4b	1
edil3a	1
scrt1a	1
OTOP1	1
nell2b	1
shank3a	1
sema6e	1
tal1	1
ptprdb	1
adcyap1r1a	1
pax8	1
thsd7ba	1
gad1b	1
aacs	1
grid1b	1
ntng2a	1
slc8a1a	1
tanc1a	1
wnk4b	1
barhl2	1
neurod4	1
CCKAR	1
il11a	1
pde9a	1
pdzrn4	1
mdga2a	1
hdac9b	1
zgc:171704	1
vwa5b2	1
kif26ab	1
ipmkb	1
hdac7b	1
crb2a	1
cntnap5b	1
csrp1b	1
adgrb1b	1
scrt2	1
cpne7	1
znf385d	1
hs6st1b	1
hoxb9a	1
hs3st4	1
hcn4l	1
necab2	1
kcnq3	1
samsn1a	1
cntln	1
pde10a	1
zgc:64022	1
hbae1.3	1
xpr1a	1
si:ch211-216b21.2	1
hbbe1.1	1
ppp1r14ab	1
CU467822.1	1
kcnk4a	1
pou3f3a	1
si:ch211-288g17.4	1
hbbe2	1
cabp1a	1
hbbe1.2	1
npdc1b	1
pyya	1
syt2a	1
kcnk2a	1
npr1a	1
htr4	1
alas2	1
cgref1	1
cdk5r2a	1
SMIM18	1
ptprua	1
kcne4	1
gipc3	1
kl	1
ctnnd2a	1
tulp1a	1
CR848841.1	1
gria3b	1
dscama	1
ccl25b	2
si:ch211-251b21.1	2
bhmt	2
rbfox1	2
dlx4a	2
prss35	2
cxcl12b	2
ucp1	2
rrad	2
aldh1a2	2
postnb	2
matn4	2
crabp1b	2
vwde	2
hpdb	2
CU468917.1	2
im:7150988	2
otos	2
angptl7	2
col1a1a	2
ptgs2a	2
grem2b	2
cxcl12a	2
spon2b	2
zgc:153704	2
fmoda	2
ca6	2
fhl3a	2
sost	2
igfbp1a	2
admb	2
wnt11r	2
si:ch211-152c2.3	2
id2b	2
alpl	2
col1a1b	2
