id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Sgo2a	0	0.453357150993523	0.422	0.025	0
Cenpf	0	1.22220380895678	0.567	0.049	0
Mcm10	0	0.389242780386894	0.36	0.017	0
Spc25	0	0.617073917729271	0.549	0.04	0
Bub1b	0	0.53049566959257	0.466	0.028	0
Knl1	0	0.82873554715541	0.601	0.034	0
Nusap1	0	1.22825950240729	0.619	0.042	0
Ncaph	0	0.518705405770318	0.513	0.045	0
Bub1	0	0.41960155170812	0.412	0.022	0
Ckap2l	0	0.79386389491607	0.588	0.037	0
Tpx2	0	0.991752633537871	0.676	0.051	0
Ube2c	0	1.27490574055027	0.557	0.042	0
Kif4	0	0.389608197914713	0.404	0.022	0
Ccna2	0	0.757362735007715	0.578	0.033	0
Cenpe	0	1.02622902893416	0.58	0.045	0
Melk	0	0.399862962548265	0.368	0.019	0
Cdca8	0	1.01973925952153	0.699	0.068	0
Clspn	0	0.716572657150452	0.596	0.042	0
Tacc3	0	0.775666465271985	0.648	0.072	0
Ncapg	0	0.44660279270124	0.425	0.022	0
Cdca3	0	0.823152283829667	0.609	0.041	0
Rad51ap1	0	0.554612622382788	0.503	0.027	0
Prc1	0	1.08546623813032	0.606	0.044	0
Mki67	0	2.04588810186662	0.847	0.116	0
Cdk1	0	0.797706283619544	0.604	0.062	0
Shcbp1	0	0.404822757818534	0.396	0.02	0
Neil3	0	0.378565113050463	0.347	0.015	0
Asf1b	0	0.66717822499644	0.573	0.043	0
Pbk	0	0.477181282535263	0.394	0.02	0
Esco2	0	0.48603103164934	0.404	0.017	0
Spc24	0	0.892758597174018	0.671	0.061	0
Pclaf	0	2.00296985631739	0.816	0.064	0
Kif15	0	0.689711402045503	0.583	0.034	0
Hmmr	0	0.760517874563745	0.518	0.031	0
Aurkb	0	0.640468272006304	0.49	0.035	0
Top2a	0	2.26039277684381	0.873	0.1	0
Tk1	0	0.745110876817926	0.588	0.045	0
Birc5	0	1.47377743363896	0.738	0.057	0
Hist1h2af	0	0.343095159680131	0.303	0.012	0
Hist1h3c	0	0.751553586583792	0.417	0.025	0
Cenph	0	0.391222949309202	0.417	0.028	0
Ccnb1	0	0.47526989256678	0.394	0.022	0
Rrm2	0	0.799690307534978	0.505	0.036	0
Cenpm	0	0.598801026213268	0.495	0.038	0
Racgap1	0	0.938894977072746	0.666	0.07	0
Sgo1	0	0.489439382026829	0.42	0.024	0
Uhrf1	0	0.759683199126091	0.606	0.052	0
Ndc80	0	0.557114050664733	0.49	0.033	0
Ska1	0	0.342774988883883	0.352	0.016	0
Cdca5	0	0.326574324525388	0.347	0.014	0
Kif11	0	0.81506401514509	0.557	0.033	0
Cep55	0	0.466602717427606	0.427	0.029	0
Plk1	5.84950415137625e-302	0.450737849897776	0.381	0.023	1.24383856274865e-297
Ncapd2	6.42876559443399e-301	0.605406894004379	0.573	0.06	1.36701271600044e-296
Kif20b	2.32030323839488e-289	0.662250592249059	0.541	0.055	4.93389280612288e-285
Cdca2	7.92184652522566e-286	0.343603571265419	0.342	0.019	1.68450144512398e-281
Fignl1	4.87824370710768e-284	0.32551997974622	0.373	0.024	1.03730974187938e-279
Kif23	4.55509124271386e-280	0.798366392020899	0.554	0.06	9.68594601850676e-276
E2f8	1.37379746547335e-278	0.407608143790565	0.373	0.025	2.92124293058252e-274
Mcm5	1.19387051146024e-277	0.858973319364016	0.699	0.103	2.53864625556906e-273
Pole	5.03113452834583e-276	0.338349037181246	0.383	0.027	1.06982044610746e-271
Nuf2	1.11203850654195e-274	0.370290508220243	0.373	0.025	2.36463868031081e-270
Dlgap5	1.5249594780493e-273	0.506006430898501	0.469	0.042	3.24267383412403e-269
Aspm	9.29882625558795e-271	0.50973649448075	0.363	0.024	1.97730241498822e-266
Pimreg	2.07738884405646e-269	0.28585383384526	0.28	0.013	4.41735963800166e-265
Ttk	7.68498132183875e-266	0.270416836787042	0.301	0.016	1.63413442827579e-261
Mis18bp1	1.3435840973433e-263	0.545111874306069	0.438	0.038	2.85699722459079e-259
Hist1h2ab	8.82802098613311e-263	0.722617971847684	0.37	0.027	1.87719038249134e-258
Kntc1	8.65438143561439e-260	0.280640603356526	0.282	0.014	1.84026766846904e-255
Hist1h2ap	6.97257780224036e-259	0.98935281718538	0.516	0.058	1.48264894386839e-254
Smc2	1.21330349074069e-258	1.19841808336824	0.834	0.176	2.57996854271101e-254
Ccnf	4.7484140383221e-257	0.313923987414339	0.324	0.02	1.00970276110881e-252
Hist1h2ak	3.13517977145764e-256	0.519203323289252	0.373	0.028	6.66664626602753e-252
Ccnb2	3.64864958406461e-253	0.7859271568881	0.477	0.048	7.75848847555498e-249
Rad51	2.29353640897138e-249	0.385171669707421	0.386	0.031	4.87697582003673e-245
Ckap2	2.93965072560214e-248	0.450404721521685	0.438	0.041	6.25087330292039e-244
Brca1	1.266509326261e-247	0.314854444616209	0.319	0.02	2.69310543136138e-243
Mcm6	7.84198807065163e-246	0.86382152552521	0.679	0.107	1.66752034334336e-241
Incenp	1.54360997019633e-244	0.916878019450059	0.725	0.127	3.28233224062547e-240
Kif20a	4.6736302879616e-241	0.372591880818498	0.352	0.026	9.93800744432154e-237
Stmn1	4.99287386022981e-241	1.99093743483088	0.966	0.295	1.06168469763927e-236
Kif22	1.02365030422106e-239	0.423453382385241	0.425	0.04	2.17669000689566e-235
Cdc45	1.95513627366963e-239	0.256451079346439	0.337	0.023	4.1574017723311e-235
Cenpk	2.46491288960093e-236	0.442488259609361	0.459	0.048	5.24139076844741e-232
Fbxo5	1.12214369215648e-234	0.465301434787859	0.417	0.039	2.38612634700154e-230
Dtl	5.83937489394053e-232	0.428280457501051	0.407	0.037	1.24168467744751e-227
Hist1h1b	1.25158392033799e-230	2.28650039476381	0.666	0.121	2.66136804820671e-226
Hist1h1a	1.00893776791105e-228	0.530883378055607	0.35	0.028	2.14540526968606e-224
Hells	2.45204138703795e-228	0.76861110102645	0.591	0.086	5.21402080539749e-224
Gm11336	9.76869091073757e-228	0.360557256867878	0.288	0.018	2.07721443525924e-223
Aurka	7.85036385444545e-227	0.376064400201535	0.339	0.026	1.66930137000928e-222
Mcm7	4.9284439476522e-221	1.1377688196231	0.777	0.173	1.04798432102876e-216
Cenpw	1.34298425608311e-219	0.590015600903445	0.606	0.093	2.85572172213513e-215
Tcf19	4.47366041870511e-216	0.3803045597067	0.407	0.04	9.51279151433454e-212
Hist1h3b	3.09932833899422e-211	0.264484006801288	0.223	0.01	6.59041178003731e-207
Hist1h2an	1.81703109299211e-208	0.45350559356931	0.277	0.018	3.86373491613843e-204
Spag5	9.69714652542266e-208	0.272414271578168	0.277	0.018	2.06200123716587e-203
Atad2	5.35758945077512e-206	1.11795045024975	0.806	0.196	1.13923782081282e-201
Hist1h2ae	2.62141473808937e-205	1.76117740182944	0.578	0.099	5.57417629907324e-201
Lig1	2.81465457368783e-205	1.08113214555243	0.782	0.182	5.9850814854898e-201
