id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cdh19	6.31762089251282e-187	1.21856397372433	1	0.043	1.34337890658393e-182
Cmtm5	8.58308421888023e-181	0.800670264156075	0.909	0.037	1.82510702830269e-176
Ajap1	3.88321466923434e-180	0.6406113686548	0.818	0.03	8.2572676726599e-176
Gpr37l1	1.12268848278611e-176	1.20090560652622	0.977	0.043	2.38728478979637e-172
Sostdc1	7.6528439965367e-175	1.44122312708289	0.977	0.045	1.62730074742356e-170
Phox2b	2.36111717900114e-159	0.660390653318068	0.75	0.028	5.02067956942802e-155
S100b	5.92987858711048e-154	1.01054242096207	0.977	0.05	1.26092938276317e-149
Sox10	7.39778835293957e-151	1.04939285417204	0.886	0.042	1.57306571536907e-146
Foxd3	1.94880997446055e-149	0.826359819461623	0.795	0.034	4.14394952969291e-145
Ptprz1	2.41837779636897e-149	1.01267609085667	0.864	0.04	5.14243854619898e-145
Plp1	6.66568946786878e-147	1.7094425485674	1	0.057	1.41739220844762e-142
Kcna1	6.78374684507351e-140	1.7875609914689	1	0.061	1.44249592913643e-135
Mal	4.09979353425651e-139	0.652696653743546	0.795	0.036	8.71780097124305e-135
Kcna2	2.65256213948701e-138	1.54459875864554	0.955	0.055	5.64040813340518e-134
Gjc3	5.41510104932443e-137	0.713306474708066	0.705	0.029	1.15146708712835e-132
Art3	2.0748769597606e-133	0.936814673516906	0.932	0.053	4.41201836723493e-129
Ntng1	3.05883998824349e-133	0.894549142494198	0.75	0.034	6.50431735100095e-129
Apod	1.57045928926674e-130	1.47219507726263	0.886	0.051	3.3394246326968e-126
Zfp536	2.66312373563584e-130	0.481884310487751	0.659	0.027	5.66286631145605e-126
Nrn1	2.78305239793657e-129	0.954814700981011	0.818	0.042	5.91788261897232e-125
Ttyh1	8.58143469378615e-128	0.600804520315852	0.795	0.04	1.82475627328669e-123
Slitrk6	6.42328845558069e-124	0.729232777974494	0.682	0.03	1.36584805719468e-119
Sox2	4.96618590164454e-122	0.278957951492012	0.455	0.014	1.05600977012569e-117
Sema3b	2.72480638661934e-119	0.920743042072672	0.909	0.058	5.79402830050736e-115
Slc35f1	1.16608740469702e-118	0.606324809097424	0.705	0.034	2.47956825734773e-114
Aspa	3.19404860439603e-114	0.872501838653378	0.909	0.06	6.79182495238771e-110
Stk32a	1.57639882577099e-113	0.453878089185905	0.614	0.027	3.35205446311943e-109
Rasgef1c	1.87358848633165e-113	0.431769078299329	0.614	0.027	3.98399855733563e-109
Grb14	2.06139181161653e-110	0.754144068462964	0.864	0.055	4.38334354822138e-106
Lgi4	4.0774962159514e-109	0.985939781782629	0.909	0.063	8.67038795359906e-105
Crtac1	5.36482331648672e-106	0.310339121035996	0.477	0.017	1.14077603001774e-101
Scn7a	1.3010916480625e-99	2.12832582534869	1	0.089	2.7666412804401e-95
Adam11	6.21411900683283e-99	0.710891954205714	0.682	0.038	1.32137026561293e-94
Tmprss5	1.15966337360266e-97	0.393946840857962	0.614	0.031	2.4659081976287e-93
Gfra1	6.50499829923568e-94	0.853917028343938	0.841	0.061	1.38322283834948e-89
Gm36944	7.46046933848661e-94	0.659629961995373	0.545	0.026	1.58639420013579e-89
Nlgn3	1.09822223212488e-93	0.279960309500156	0.432	0.016	2.33525975439035e-89
Col20a1	4.46713708928758e-93	0.849570151741062	0.659	0.039	9.49892030666111e-89
Ncam1	5.83097549491608e-92	1.68666068538073	1	0.095	1.23989862923896e-87
Fam89a	1.40702754419652e-91	0.263619534710058	0.477	0.02	2.99190336997948e-87
Gpm6b	4.97646654442734e-90	1.29210629889372	0.955	0.086	1.05819584600703e-85
Dlgap1	4.0830042763002e-87	0.468418697532454	0.659	0.04	8.68210029312475e-83
Lrrc4c	3.89303818170176e-86	0.253105634183408	0.409	0.016	8.27815638957062e-82
Fam19a5	4.23489104948802e-86	0.504959926858043	0.727	0.049	9.00507232763132e-82
Edil3	4.03902811213406e-85	0.570027809238251	0.682	0.044	8.58858937764186e-81
Cdh4	4.06678122830994e-84	0.256887800691067	0.386	0.015	8.64760360387826e-80
Sorbs2	1.15545879291294e-82	0.846077225381604	0.909	0.079	2.45696757725008e-78
4930469K13Rik	4.01735196754674e-82	0.250790840640527	0.386	0.015	8.54249722379138e-78
Scg3	2.92360385168292e-81	0.317423661271642	0.5	0.025	6.21675123021855e-77
Abca8b	2.71813808442555e-79	0.810888379355261	0.75	0.058	5.77984882272248e-75
Fabp7	5.51029403128482e-79	0.572175108294639	0.705	0.051	1.1717089228124e-74
Ank3	3.10623317058249e-78	1.30381065103196	0.977	0.101	6.60509421392661e-74
Chl1	6.79279147149822e-78	1.49414497388878	0.977	0.106	1.44441917849938e-73
Sfrp5	3.37751179250116e-77	0.586713801139682	0.523	0.029	7.18194107557447e-73
L1cam	2.46079720201992e-76	0.873999429546854	0.864	0.08	5.23263917037515e-72
Tmod2	2.60176900720533e-76	0.823507501551909	0.841	0.074	5.53240161692141e-72
Col12a1	3.29311819680714e-76	0.779504048956905	0.864	0.079	7.0024865336907e-72
Astn1	1.41160464571012e-74	0.265216652991376	0.455	0.022	3.001636118638e-70
Lrrtm1	1.21510320708068e-72	0.359130477134694	0.341	0.013	2.58379545953637e-68
Kcna6	1.32857754450725e-71	0.340706214879061	0.5	0.028	2.82508729064022e-67
Fez1	8.04278678446269e-71	0.542000339486343	0.75	0.063	1.71021818184815e-66
Tspan15	8.18244391221275e-71	0.756952139862118	0.909	0.095	1.73991487349292e-66
Plekhb1	6.8363669252827e-70	0.6427287839969	0.795	0.072	1.45368506299211e-65
Mmp17	1.61645241549234e-68	0.397013646953027	0.659	0.051	3.43722441630292e-64
Rxrg	1.09387914748894e-67	0.256002844792985	0.409	0.02	2.32602461922048e-63
Paqr6	1.24067789336993e-67	0.46546891237795	0.591	0.042	2.63817747246181e-63
Gm38255	1.59540898683608e-67	0.517247212826454	0.409	0.02	3.39247766960824e-63
Mmd2	3.14691965690207e-67	0.259025037444638	0.386	0.018	6.69160995843656e-63
Luzp2	1.26949557395065e-66	0.324841923785957	0.409	0.02	2.69945538844866e-62
Insc	6.76992249394936e-64	0.291507784809807	0.409	0.021	1.43955631911339e-59
Ccn2	1.20727100271017e-63	0.914414871855765	0.705	0.063	2.56714106016291e-59
Gal3st1	2.7977400244511e-63	0.274806645920147	0.386	0.019	5.94911438799282e-59
Map2	8.01533904615528e-63	0.262248187028159	0.409	0.022	1.70438169477446e-58
Epdr1	1.52845244525287e-62	0.429452925610516	0.591	0.045	3.25010127958569e-58
Vwa1	1.54273556599931e-62	0.93190634799842	0.886	0.098	3.28047290754093e-58
Dtna	1.62306960466596e-62	0.558214617825832	0.659	0.056	3.45129520736169e-58
Tmem151a	3.59630124448164e-62	0.978302855287224	0.977	0.122	7.64717496626577e-58
Gjb5	7.04325269736217e-61	0.770634015257819	0.909	0.105	1.49767725356709e-56
Gfra2	1.98521468061882e-60	0.685849980268001	0.864	0.096	4.22136049686785e-56
Postn	4.29898578694228e-60	1.16169974547163	0.795	0.084	9.14136337735407e-56
Cd59a	2.63853582071466e-59	1.21340791913685	1	0.145	5.61058256916765e-55
1700047M11Rik	4.54786440506999e-59	0.311999331536593	0.455	0.028	9.67057887094083e-55
Lrrn4	5.46785634737245e-59	1.81286594929878	1	0.135	1.16268497370528e-54
Chst4	6.47305437918608e-59	0.870333030930555	0.932	0.115	1.37643028319013e-54
Erbb3	5.64296325172192e-58	0.541135010676116	0.705	0.068	1.19991970584615e-53
Krt7	9.20518648490937e-58	1.77069384131158	1	0.139	1.95739085415113e-53
Upk3b	1.07793198731948e-57	1.95760176445099	1	0.136	2.29211457783614e-53
Krt18	1.17589887180249e-57	2.16902372038949	1	0.141	2.50043136100081e-53
Lrrn2	1.83049959150742e-57	0.428824455099188	0.568	0.044	3.89237433138138e-53
Muc16	4.68327935963172e-57	1.59569762029615	0.977	0.131	9.95852523032089e-53
Msln	4.88546267593057e-57	2.04100433987296	1	0.139	1.03884478340988e-52
Gfap	1.33671931062226e-56	0.546820287921319	0.386	0.022	2.84239994210717e-52
Gpm6a	6.93345604532018e-56	1.78643790871969	1	0.142	1.47433009347688e-51
Pkhd1l1	9.88360774369311e-56	1.51604767654945	0.977	0.135	2.1016503506189e-51
Cldn10	1.37970471425395e-55	1.03369820926127	0.886	0.113	2.93380410438959e-51
Kif21a	2.10936179588264e-55	0.645599139482449	0.773	0.089	4.48534692276485e-51
Prr15l	3.81896518932564e-54	0.974835666616302	0.909	0.12	8.12064757858204e-50
Myo5b	3.8902933467905e-54	1.0576787601974	0.909	0.123	8.27231977261531e-50
C2	1.13604113266025e-53	1.60662249361685	1	0.157	2.41567786448875e-49
Upk1b	1.17760093607165e-53	1.44249273684522	0.955	0.132	2.50405063046275e-49
Flrt1	1.26834586838343e-53	0.718778034058348	0.727	0.081	2.69701065453052e-49
Krt8	1.60388503384531e-53	1.88473441996696	1	0.148	3.41050113596868e-49
Sfrp1	2.33743924535019e-53	0.92199371044518	0.977	0.135	4.97033081131264e-49
Cdh2	2.64556194021055e-53	0.41059266642488	0.545	0.044	5.62552290966371e-49
Cxadr	2.88925799190024e-53	1.54490237547672	0.977	0.143	6.14371819397667e-49
Srcin1	4.13197339373774e-53	0.27420525432552	0.341	0.018	8.78622822444393e-49
Lgals2	6.95126266881146e-53	1.22884177972352	0.886	0.12	1.47811649389607e-48
Adam23	9.53096720703232e-53	0.824701566539935	0.705	0.078	2.02666486690335e-48
Rspo1	9.57719861394817e-53	1.45718600720849	1	0.153	2.03649551326994e-48
Fxyd1	3.37667469855387e-52	1.66001724623656	1	0.18	7.18016107900496e-48
Camk2b	4.54731635990663e-52	0.400504262620038	0.568	0.049	9.66941350770546e-48
Cldn15	5.12340027537603e-52	1.2456922335026	0.977	0.147	1.08943983455596e-47
Abca8a	5.84186288875338e-52	0.508328711475726	0.75	0.08	1.24221372466452e-47
Cadm4	6.19689914172465e-52	0.612016231904444	0.841	0.108	1.31770863349633e-47
Tmem98	7.25142823773725e-52	1.36945923185114	1	0.154	1.54194370047245e-47
Nnat	8.80497835012296e-52	0.916902385293155	0.75	0.088	1.87229059637015e-47
Ephb6	1.71823743480729e-51	0.380169446804807	0.636	0.063	3.65366008137423e-47
Cyp2s1	2.50443259680144e-51	0.683336629167161	0.841	0.108	5.32542547383858e-47
Tst	2.80903927436308e-51	0.813750398388049	0.932	0.134	5.97314111300566e-47
Gulp1	3.06931392352042e-51	0.728799507602535	0.955	0.138	6.52658912697383e-47
Mtss1l	3.34141605253387e-51	0.400253829518702	0.591	0.054	7.10518709410803e-47
Cyp2j9	7.06344499357517e-51	0.398579762644935	0.568	0.05	1.50197094343382e-46
Rcan2	8.24608592453365e-51	0.551334361013438	0.75	0.088	1.75344771099283e-46
Krt19	1.10476437519207e-50	2.00704458720574	1	0.151	2.34917096740843e-46
Matn2	1.16576421965134e-50	0.885102835292354	0.841	0.108	2.47888103666661e-46
Wt1	1.67787612703937e-50	1.15604899700694	1	0.151	3.56783579653651e-46
