genes	geneCluster
4732440D04Rik	0
Gm37108	0
Rrs1	0
Mybl1	0
Gm37569	0
Gm38376	0
Gm38223	0
Gm38120	0
Gm38380	0
Terf1	0
Rdh10	0
Stau2	0
Tram2	0
Tmem14a	0
Gsta3	0
Gm7658	0
B3gat2	0
Fam135a	0
Gm37522	0
Gm37906	0
Ptp4a1	0
Ptp4a1.1	0
Prim2	0
Rab23	0
Bag2	0
Bend6	0
Gm38157	0
Gm37233	0
Gm28417	0
Lman2l	0
Cnnm4	0
Cnnm3	0
Ankrd39	0
Sema4c	0
D430040D24Rik	0
Gm38115	0
Gm43213	0
Tsga10	0
Rev1	0
Aff3	0
Cnot11	0
Gm23722	0
Gm37347	0
Il1r1	0
Il1rl2	0
AI597479	0
Fhl2	0
Nck2	0
Uxs1	0
Tex30	0
Kdelc1	0
Bivm	0
Ercc5	0
Gm37626	0
Gm38211	0
Wdr75	0
Gm8420	0
Nemp2	0
Inpp1	0
Hibch	0
1700019D03Rik	0
Pms1	0
Ormdl1	0
Osgepl1	0
Pgap1	0
Gm17971	0
Rftn2	0
Gm10561	0
Mars2	0
Plcl1	0
1700066M21Rik	0
Tyw5	0
Maip1	0
Kctd18	0
Aox1	0
Aox3	0
Nif3l1	0
Orc2	0
Gm15834	0
Gm20257	0
Gm37760	0
Trak2	0
Stradb	0
Tmem237	0
Als2	0
Fzd7	0
D430013B06Rik	0
Gm37531	0
Wdr12	0
Carf	0
6030460B20Rik	0
Rpl18-ps1	0
Pard3b	0
Gm37121	0
Ino80dos	0
Gm20342	0
Fastkd2	0
Mettl21a	0
Fzd5	0
Plekhm3	0
Rpl10a-ps1	0
Kansl1l	0
Gm38162	0
Lancl1	0
Gm8885	0
D230017M19Rik	0
Pecr	0
Xrcc5	0
Smarcal1	0
Catip	0
Gm37733	0
Cnot9	0
Zfp142	0
Bcs1l	0
Rnf25	0
Ttll4	0
Cyp27a1	0
Nhej1	0
Atg9a	0
Ankzf1	0
Glb1l	0
Dnajb2	0
Speg	0
Obsl1	0
Stk11ip	0
Slc4a3	0
Acsl3	0
Utp14b	0
Mrpl44	0
A630081D01Rik	0
Irs1	0
Rhbdd1	0
Gm38374	0
C130026I21Rik	0
A530032D15Rik	0
A530040E14Rik	0
Armc9	0
C130036L24Rik	0
Pde6d	0
Cops7b	0
Dis3l2	0
Gm38021	0
Gm37447	0
Atg16l1	0
Sag	0
4833421G17Rik	0
Gm38365	0
Usp40	0
Sh3bp4	0
Gm7776	0
Scly	0
Hes6	0
Per2	0
Traf3ip1	0
Asb1	0
Ankmy1	0
Dusp28	0
9430060I03Rik	0
Capn10	0
Kif1a	0
Mterf4	0
Sept2	0
Farp2	0
Stk25	0
Thap4	0
Atg4b	0
D2hgdh	0
BC055308	0
Gm15427	0
Gm37642	0
Gin1	0
B230216N24Rik	0
Gm3608	0
Pign	0
Gm37566	0
